jmdict_seq,kana,kanji,waller_definition,jlpt_level
1392500,あざやか,鮮やか,"vivid, clear, brilliant",N1
1565610,あざわらう,あざ笑う,"to sneer at, to ridicule",N1
1527000,あじわい,味わい,"flavour, meaning, significance",N1
1447430,あずま,東,"east, Eastern Japan",N1
1350780,あせる,焦る,"to be in a hurry, to be impatient",N1
1000320,あそこ,彼処,"1. (uk) there, over there, that place, 2. (X) (col) genitals",N1
1581630,あたい,値,"value, price, cost, worth, merit",N1
1609040,あたいする,値する,"to be worth, to deserve, to merit",N1
1311125,あたし,私,I (fem),N1
1448780,あたり,当たり,"hit, success, reaching the mark, per ..., vicinity, neighborhood",N1
1448800,あたりまえ,当たり前,"usual, common, ordinary, natural, reasonable, obvious",N1
1581400,あだびと,他人,"another person, unrelated person, outsider, stranger",N1
1612620,あちこち,彼方此方,here and there,N1
1483185,あちら,彼方,"1. there, yonder, that",N1
1612620,あちらこちら,彼方此方,here and there,N1
1151470,あっか,悪化,"deterioration, growing worse, aggravation, degeneration, corruption",N1
1515600,あっけない,呆気ない,"not enough, too quick (short long etc.)",N1
2862924,あっこう,悪口,"abuse, insult, slander, evil speaking",N1
1000360,あっさり,,"easily, readily, quickly",N1
1153310,あっぱく,圧迫,"pressure, coercion, oppression",N1
1153430,あつかい,扱い,"treatment, service",N1
1333550,あつまる,集まる,"to gather, to collect, to assemble",N1
1572680,あつらえる,誂える,"to give an order, to place an order",N1
1153340,あつりょく,圧力,"stress, pressure",N1
1448820,あて,当て,"object, aim, end, hopes, expectations",N1
1448820,あて,宛,addressed to,N1
1448890,あてじ,当て字,"phonetic-equivalent character, substitute character",N1
1448930,あてはまる,当てはまる,to apply (a rule),N1
1586530,あてはめる,当てはめる,"to apply, to adapt",N1
1153480,あてる,宛てる,to address,N1
1383690,あとつぎ,跡継ぎ,"heir, successor",N1
1269500,あとまわし,後回し,"putting off, postponing",N1
1223615,あなた,貴女,"you, lady",N1
1000420,あの,彼の,that over there,N1
1167610,あふれる,溢れる,"to flood, to overflow, to brim over",N1
1538630,あぶらえ,油絵,oil painting,N1
1568910,あぶる,炙る,to scorch,N1
1000470,あべこべ,,"contrary, opposite, inverse",N1
1213440,あまえる,甘える,"to behave like a spoiled child, to fawn on",N1
1213510,あまくち,甘口,"sweet flavour, mildness, flattery, stupidity",N1
1171940,あまぐ,雨具,rain gear,N1
1438200,あまつ,天津,"heavenly, imperial",N1
1534380,あみ,網,"net, network",N1
1582090,あめつち,天地,"heaven and earth, the universe, nature, top and bottom, realm, sphere, world",N1
1400010,あやつる,操る,"to manipulate, to operate, to pull strings",N1
1000510,あやふや,,"uncertain, vague, ambiguous",N1
1218410,あやぶむ,危ぶむ,"to fear, to have misgivings, to be doubtful, to mistrust",N1
1196010,あやまち,過ち,"fault, error, indiscretion",N1
1271300,あやまる,誤る,to make a mistake,N1
1514330,あゆみ,歩み,walking,N1
1514360,あゆむ,歩む,"to walk, to go on foot",N1
1000520,あら,,"oh, ah, saw-edged perch (Niphon spinosus)",N1
1542860,あらかじめ,予め,"beforehand, in advance, previously",N1
1281480,あらす,荒らす,"to lay waste, to devastate, to damage, to invade, to break into",N1
1396970,あらすじ,粗筋,"outline, summary",N1
1400560,あらそい,争い,"dispute, strife, quarrel, dissension, conflict, rivalry, contest",N1
1200730,あらたまる,改まる,to be renewed,N1
1281470,あらっぽい,荒っぽい,"rough, rude",N1
1586780,あらゆる,凡ゆる,"all, every",N1
1574100,あられ,霰,"kind of cookie, cartoon character",N1
1610550,あらわれ,現われ,"embodiment, materialization",N1
1263510,あらわれる,現われる,"to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself",N1
1586820,ありがとう,有難う,Thank you,N1
1541060,ありさま,有様,"state, condition, circumstances, the way things are or should be, truth",N1
1541000,ありのまま,有りのまま,"the truth, fact, as it is, frankly",N1
1586840,ある,或る,"a certain..., some...",N1
1586850,あるいは,或いは,"or, possibly",N1
1612650,あれこれ,彼此,"one thing or another, this and that, this or that",N1
1284460,あわす,合わす,"to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to",N1
1284470,あわせ,合わせ,"joint together, opposite, facing",N1
1278810,あわただしい,慌ただしい,"busy, hurried, confused, flurried",N1
1278830,あわてる,慌てる,to become confused (disconcerted disorganized),N1
1154520,あんさつ,暗殺,assassination,N1
1154540,あんざん,暗算,mental arithmetic,N1
1154550,あんじ,暗示,"hint, suggestion",N1
1154780,あんじる,案じる,"to be anxious, to ponder",N1
1153910,あんせい,安静,rest,N1
1154790,あんのじょう,案の定,"sure enough, as usual",N1
1584930,あんまり,余り,"not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema",N1
,い,依,depending on,N1
2252790,い,伊,"that one, Italy",N1
1583250,いいえ,,"no, nay, yes, well",N1
1277440,いいかげん,いい加減,"moderate, right, random, not thorough, vague, irresponsible, halfhearted",N1
1587030,いいわけ,言い訳,"excuse, explanation",N1
1192030,いえで,家出,"running away from home, leaving home",N1
1191990,いえぬし,家主,landlord,N1
2845606,いかが,如何,"how, in what way",N1
1587070,いかす,生かす,"to revive, to resuscitate, to make use of",N1
1585060,いかずち,雷,thunder,N1
1466970,いかに,如何に,"how?, in what way?, how much?, however, whatever",N1
1000660,いかにも,如何にも,"indeed, really, phrase meaning agreement",N1
1445670,いかり,怒り,"anger, hatred",N1
2859682,いかる,怒る,"to get angry, to be angry",N1
1585360,いがむ,歪む,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv",N1
1372410,いき,粋,"chic, style, purity, essence",N1
1160500,いきがい,域外,outside the area,N1
1156450,いきごむ,意気込む,to be enthusiastic about,N1
1251120,いきさつ,経緯,"1. details, whole story, sequence of events, particulars, how it started, how things got this way, 2. c",N1
1578800,いきちがい,行き違い,"misunderstanding, estrangement, disagreement, crossing without meeting, going astray",N1
1282000,いきなり,行き成り,suddenly,N1
1157580,いぎ,異議,"objection, dissent, protest",N1
1587140,いくさ,軍,"war, battle, campaign, fight",N1
1587140,いくさ,戦,"war, battle, campaign, fight",N1
1587150,いくせい,育成,"rearing, training, nurture, cultivation, promotion",N1
1220040,いくた,幾多,"many, numerous",N1
1587190,いける,活ける,to arrange (flowers),N1
1157640,いけん,異見,"different opinion, objection",N1
1587200,いこう,意向,"intention, idea, inclination",N1
1158240,いこう,移行,switching over to,N1
1000750,いざ,,"now, come (now), well, crucial moment",N1
1702990,いしぶみ,碑,stone monument bearing an inscription,N1
1158760,いしょう,衣装,"clothing, costume, outfit, garment, dress",N1
1156720,いじ,意地,"disposition, spirit, willpower, obstinacy, backbone, appetite",N1
1195140,いじめる,苛める,"to tease, to torment, to persecute, to chastise",N1
1158280,いじゅう,移住,"migration, immigration",N1
1560700,いじる,弄る,"to touch, to tamper with",N1
1566210,いずれ,何れ,"where, which, who, anyway, anyhow, at any rate",N1
1157860,いせい,異性,the opposite sex,N1
1159380,いせき,遺跡,historic ruins (remains relics),N1
1155650,いぜん,依然,"still, as yet",N1
1575870,いそん,依存,"dependence, dependent, reliance",N1
1156160,いたく,委託,"consign (goods (for sale) to a firm), entrust (person with something), commit",N1
1430200,いただき,頂,"(top of) head, summit, spire",N1
1410800,いただきます,戴きます,expression of gratitude before meals,N1
1311850,いたって,至って,"very much, exceedingly, extremely",N1
1432710,いたむ,痛む,"to hurt, to feel a pain, to be injured",N1
1432720,いためる,痛める,"to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over",N1
1568920,いためる,炒める,to stir-fry,N1
1560240,いたわる,労る,"to pity, to sympathize with, to console, to care for, to be kind to",N1
1587310,いち,位地,"place, situation, position, location",N1
1587320,いちいち,一々,"one by one, separately",N1
1161390,いちがいに,一概に,"unconditionally, as a rule",N1
1727890,いちげん,一見,"unfamiliar, never before met",N1
1575990,いちげん,一言,single word,N1
1576260,いちじつ,一日,"1. one day, 2. first of month",N1
2859332,いちじょう,一定,"fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed",N1
1427070,いちじるしい,著しい,"remarkable, considerable",N1
1165340,いちどう,一同,"all present, all concerned, all of us",N1
1576150,いちにん,一人,one person,N1
1166180,いちぶ,一部,"1. one copy e.g. of a document, 2. a part, partly, some",N1
1166200,いちぶぶん,一部分,a part,N1
1166400,いちべつ,一別,parting,N1
1166870,いちめん,一面,"one side, one phase, front page, the other hand, the whole surface",N1
2810460,いちもく,一目,"a glance, a look, a glimpse",N1
1167130,いちよう,一様,"uniformity, evenness, similarity, equality, impartiality",N1
1167250,いちりつ,一律,"evenness, uniformity, monotony, equality",N1
1167450,いちれん,一連,"a series, a chain, a ream (of paper)",N1
1161470,いっかつ,一括,"all together, batch, one lump, one bundle, summing up",N1
1161720,いっき,一気,drink!(said repeatedly as a party cheer),N1
1609220,いっきょに,一挙に,"at a stroke, with a single swoop",N1
1164170,いっさい,一切,"all, everything, without exception, the whole, entirely, absolutely",N1
1163580,いっしん,一心,"one mind, wholeheartedness, the whole heart",N1
2613280,いっそ,,"rather, sooner, might as well",N1
1164570,いったい,一帯,"a region, a zone, the whole place",N1
1165660,いっぱい,一敗,one defeat,N1
1166420,いっぺん,一変,"complete change, about-face",N1
1577130,いつでも,何時でも,"(at) any time, always, at all times, never (neg), whenever",N1
1188850,いつのまにか,何時の間にか,"before one knows, unnoticed, unawares",N1
1188880,いつまでも,何時までも,"forever, for good, eternally, as long as one likes, indefinitely",N1
1156690,いと,意図,"intention, aim, design",N1
1173420,いとなむ,営む,"to carry on (e.g. in ceremony), to run a business",N1
2858986,いとま,暇,"free time, leisure, leave, spare time, farewell",N1
1157970,いどう,異動,a change,N1
1428230,いどむ,挑む,"to challenge, to contend for, to make love to",N1
1167850,いなびかり,稲光,(flash of) lightning,N1
1265040,いにしえ,古,"antiquity, ancient times",N1
1222760,いのり,祈り,"prayer, supplication",N1
1575480,いびき,鼾,snoring,N1
1289150,いまさら,今更,"now, at this late hour",N1
1527110,いまだ,未だ,"as yet, hitherto, not yet (neg)",N1
1158440,いみん,移民,"emigration, immigration, emigrant, immigrant",N1
1587620,いやいや,厭々,"unwillingly, grudgingly, shaking head in refusal (to children)",N1
1482660,いやしい,卑しい,"greedy, vulgar, shabby, humble, base, mean, vile",N1
1000910,いやに,嫌に,"awfully, terribly",N1
1257270,いやらしい,厭らしい,"detestable, disagreeable",N1
1587670,いよいよ,愈々,"more and more, all the more, increasingly, at last, beyond doubt",N1
1587690,いよく,意欲,"will, desire, ambition",N1
1587700,いらいら,苛々,"getting nervous, irritation",N1
1582820,いりくち,入口,"entrance, gate, approach, mouth",N1
1158830,いりょう,衣料,clothing,N1
1587770,いりょく,威力,"power, might, authority, influence",N1
1465580,いる,入る,"to get in, to go in, to come in, to flow into, to set, to set in",N1
1613280,いるい,衣類,"clothes, clothing, garments",N1
1587850,いろいろ,色々,various,N1
1158150,いろん,異論,"different opinion, objection",N1
1343150,いわゆる,所謂,"the so-called, so to speak",N1
1168050,いん,印,"seal, stamp, mark, print",N1
1168610,いん,員,member,N1
1168120,いんかん,印鑑,"stamp, seal",N1
1170280,いんき,陰気,"gloom, melancholy",N1
1170690,いんきょ,隠居,"retirement, retired person",N1
1352700,うえした,上下,"high and low, up and down, unloading and loading, praising and blaming",N1
1497430,うかぶ,浮かぶ,"to float, to rise to surface, to come to mind",N1
1329580,うかる,受かる,to pass (examination),N1
2797680,うがい,含嗽,"gargle, rinse mouth",N1
1329660,うけいれ,受け入れ,"receiving, acceptance",N1
1329670,うけいれる,受け入れる,"to accept, to receive",N1
1329600,うけつぐ,受け継ぐ,"to inherit, to succeed, to take over",N1
1329690,うけつける,受け付ける,"to be accepted, to receive (an application)",N1
1329630,うけとめる,受け止める,"to catch, to stop the blow, to react to, to take",N1
1329770,うけとり,受け取り,receipt,N1
1329860,うけみ,受身,"passive, passive voice",N1
1451180,うごき,動き,"movement, activity, trend, development, change",N1
1428620,うしお,潮,tide,N1
1311010,うじ,氏,family name,N1
1172310,うず,渦,swirl,N1
1584340,うずまる,埋まる,"to be buried, to be surrounded, to overflow, to be filled",N1
1172460,うそつき,嘘つき,"liar (sometimes said with not much seriousness), fibber",N1
1588140,うちあわせ,打ち合わせ,"business meeting, previous arrangement, appointment",N1
1588150,うちあわせる,打ち合わせる,"to knock together, to arrange",N1
1408720,うちきる,打ち切る,"to stop, to abort, to discontinue, to close",N1
1588200,うちけし,打ち消し,"negation, denial, negative",N1
1581440,うちこむ,打ち込む,"to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int",N1
1419250,うちわ,団扇,fan,N1
1459360,うちわけ,内訳,"the items, breakdown, classification",N1
1397710,うったえ,訴え,"lawsuit, complaint",N1
1568430,うっとうしい,鬱陶しい,"gloomy, depressing",N1
1321790,うつし,写し,"copy, duplicate, facsimile, transcript",N1
1588340,うつろ,空ろ,"blank, cavity, hollow, empty (space)",N1
1218880,うつわ,器,"bowl, vessel, container",N1
1172100,うてん,雨天,rainy weather,N1
1562890,うでまえ,腕前,"ability, skill, facility",N1
1574470,うどん,饂飩,noodles (Japanese),N1
1403760,うながす,促す,"to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)",N1
1565300,うなる,唸る,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough",N1
1317730,うぬぼれ,自惚れ,"pretension, conceit, hubris",N1
1310460,うまい,甘い,delicious,N1
1378770,うまれつき,生まれつき,"by nature, by birth, native",N1
1201830,うみじ,海路,sea route,N1
1588410,うむ,産む,"to give birth, to deliver, to produce",N1
1524520,うめこむ,埋め込む,to bury,N1
1473500,うめぼし,梅干,dried plum,N1
1525230,うら,末,"top end, tip",N1
1550620,うらがえし,裏返し,"inside out, upside down",N1
1588530,うりだし,売り出し,(bargain) sale,N1
1473860,うりだす,売り出す,"to put on sale, to market, to become popular",N1
1341790,うるおう,潤う,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t",N1
1481920,うるさい,五月蝿い,"noisy, loud, fussy",N1
1588590,うれゆき,売れ行き,sales,N1
1497450,うわき,浮気,"flighty, fickle, wanton, unfaithful",N1
1580400,うわて,上手,"1. upper part, upper stream, left side (of a stage), 2. skillful (only in comparisons), dexterity (on",N1
1352770,うわまわる,上回る,to exceed,N1
1357260,うわる,植わる,to be planted,N1
1172690,うんえい,運営,"management, administration, operation",N1
1001110,うんざり,,"tedious, boring, being fed up with",N1
1588620,うんそう,運送,"shipping, marine transportation",N1
1172820,うんちん,運賃,"freight rates, shipping expenses, fare",N1
1588630,うんぬん,云々,"and so on, and so forth, comment",N1
1173010,うんぱん,運搬,"transport, carriage",N1
1173030,うんめい,運命,fate,N1
1173050,うんゆ,運輸,transportation,N1
1173090,うんよう,運用,"making use of, application, investment, practical use",N1
1198160,え,会,understanding,N1
1335730,え,重,"-fold, -ply",N1
1001130,えい,鱝,ray (fish),N1
1173780,えいしゃ,映写,projection,N1
1174530,えいじ,英字,English letter (character),N1
1174790,えいせい,衛生,"health, hygiene, sanitation, medical",N1
1173800,えいぞう,映像,"reflection, image",N1
1174680,えいゆう,英雄,"hero, great man",N1
1174970,えき,液,"liquid, fluid",N1
1537960,えき,役,"war, campaign, battle",N1
1175380,えつらん,閲覧,"inspection, reading",N1
1205760,えもの,獲物,"game, spoils, trophy",N1
1588750,えり,襟,"neck, collar, lapel, neckband",N1
1177490,えん,縁,"chance, fate, destiny, relation, bonds, connection, karma",N1
2847901,えん,塩,salt,N1
1615260,えん,艶,"charming, fascinating, voluptuous",N1
2854424,えん,園,garden (esp. man-made),N1
1576570,えんかつ,円滑,"harmony, smoothness",N1
1177630,えんがわ,縁側,"veranda, porch, balcony, open corridor",N1
1176740,えんがん,沿岸,"coast, shore",N1
1566060,えんきょく,婉曲,"euphemistic, circumlocution, roundabout, indirect, insinuating",N1
1176930,えんしゅう,演習,"practice, exercises, manoeuvers",N1
1176950,えんしゅつ,演出,"production (e.g. play), direction",N1
1176780,えんじる,演じる,"to perform (a play), to play (a part), to act (a part), to commit (a blunder)",N1
1176790,えんずる,演ずる,"to perform, to play",N1
1176750,えんせん,沿線,along railway line,N1
1177650,えんだん,縁談,"marriage proposal, engagement",N1
1178340,えんぽう,遠方,"long way, distant place",N1
1176200,えんまん,円満,"perfection, harmony, peace, smoothness, completeness, satisfaction, integrity",N1
1485770,お,尾,"tail, ridge",N1
,お,於,"at, in, on",N1
1179140,おい,甥,nephew,N1
1432330,おいこむ,追い込む,"to herd, to corner, to drive",N1
1486650,おいしい,美味しい,"delicious, tasty",N1
1432350,おいだす,追い出す,"to expel, to drive out",N1
1178920,おいて,於いて,"at, in, on",N1
1001180,おいでになる,お出でになる,to be,N1
1560990,おいる,老いる,"to age, to grow old",N1
1497930,おう,負う,"to bear, to owe",N1
1179880,おうきゅう,応急,emergency,N1
1181860,おうごん,黄金,gold,N1
1576760,おうしょく,黄色,yellow,N1
1180030,おうぼ,応募,"subscription, application",N1
2853873,おおい,,hey!,N1
1415020,おおかた,大方,"perhaps, almost all, majority",N1
1414980,おおがら,大柄,"large build, large pattern",N1
1588890,おおげさ,大げさ,"grandiose, exaggerated",N1
2833293,おおごと,大事,"important, valuable, serious matter",N1
1412950,おおざっぱ,大ざっぱ,"rough (as in not precise), broad, sketchy",N1
1413490,おおすじ,大筋,"outline, summary",N1
1413510,おおぞら,大空,"heaven, firmament, the sky",N1
1414870,おおはば,大幅,"full width, large scale, drastic",N1
1414210,おおみず,大水,flood,N1
1273170,おおやけ,公,"official, public, formal, open, governmental",N1
1001640,おかげ,お蔭,"(your) backing, assistance",N1
1270220,おかげさまで,お蔭様で,"Thanks to god, thanks to you",N1
1190860,おかしい,可笑しい,"strange, funny, amusing, ridiculous",N1
1481550,おかす,犯す,"to commit, to perpetrate, to violate, to rape",N1
1359800,おかす,侵す,"to invade, to raid, to trespass, to violate, to intrude on",N1
1588930,おかず,お菜,"side dish, accompaniment for rice dishes",N1
1182790,おくびょう,臆病,"cowardice, timidity",N1
1422000,おくらす,遅らす,"to retard, to delay",N1
1422020,おくれ,遅れ,"delay, lag",N1
1223660,おこす,起こす,"to raise, to cause, to wake someone",N1
1589050,おこない,行い,"deed, conduct, behavior, action, asceticism",N1
1262520,おごそか,厳か,"austere, majestic, dignified, stately, awful, impressive",N1
2857913,おごる,傲る,to be proud,N1
2647190,おさ,長,"chief, head",N1
1589080,おさえる,押さえる,"to stop, to restrain, to seize, to repress, to suppress, to press down",N1
1002280,おさきに,お先に,"before, ahead, previously",N1
1330490,おさまる,収まる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered",N1
1330490,おさまる,納まる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered",N1
1316820,おさまる,治まる,"to be at peace, to clamp down, to lessen (storm terror anger)",N1
1001960,おさん,お産,(giving) birth,N1
1236890,おしえ,教え,"teachings, precept, lesson, doctrine",N1
1180260,おしこむ,押し込む,"to push into, to crowd into",N1
1382300,おしむ,惜しむ,"to be frugal, to value, to regret",N1
1002450,おしゃべり,お喋り,"chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth",N1
1002770,おしゃれ,お洒落,"smartly dressed, someone smartly dressed, fashion-conscious",N1
1180190,おしよせる,押し寄せる,"to push aside, to advance on",N1
1002320,おじいさん,お祖父さん,"grandfather, male senior-citizen",N1
1002050,おじゃまします,お邪魔します,Excuse me for disturbing (interrupting) you,N1
1589190,おす,雄,male (animal),N1
1002250,おせじ,お世辞,"flattery, compliment",N1
1333330,おそう,襲う,to attack,N1
1421990,おそくとも,遅くとも,at the latest,N1
1236650,おそらく,恐らく,perhaps,N1
1236660,おそれ,恐れ,"fear, horror",N1
1236680,おそれいる,恐れ入る,"to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b",N1
1002390,おだいじに,お大事に,Take care of yourself,N1
1391600,おだてる,煽てる,"to stir up, to instigate, to flatter",N1
1548570,おちこむ,落ち込む,"to fall into, to feel down (sad)",N1
1548590,おちつき,落ち着き,"calm, composure",N1
1585070,おちば,落ち葉,"fallen leaves, leaf litter, defoliation, shedding leaves",N1
1548550,おちる,落ちる,"to fail (e.g. exam), to fall down, to drop",N1
1001330,おっかない,,"frightening, huge",N1
1238840,おっしゃる,仰っしゃる,"to say, to speak, to tell, to talk",N1
1182940,おつ,乙,"1. strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic, 2. 2nd in rank, second sign of the",N1
1001980,おつかい,お使い,errand,N1
1002080,おてあげ,お手上げ,"all over, given in, given up hope, bring to knees",N1
1002100,おてあらい,御手洗い,"toilet, restroom, lavatory, bathroom (US)",N1
2837087,おと,弟,younger brother,N1
1589260,おとす,落とす,"to drop, to lose, to let fall",N1
1518080,おとずれる,訪れる,to visit,N1
1414190,おとなしい,大人しい,"obedient, docile, quiet",N1
2855480,おとめ,少女,"daughter, young lady, virgin, maiden, little girl",N1
1001810,おとも,お供,"attendant, companion",N1
1372430,おとろえる,衰える,"to become weak, to decline, to wear, to abate, to decay, to wither, to waste away",N1
1001400,おどおど,,"coweringly, hesitantly",N1
1578070,おどかす,脅かす,"to threaten, to coerce",N1
1238070,おどす,脅す,"to threaten, to menace",N1
1238660,おどろき,驚き,"surprise, astonishment, wonder",N1
1451740,おないどし,同い年,of the same age,N1
2858064,おなご,女子,"woman, girl",N1
1001720,おねがいします,お願いします,please,N1
2826190,おのおの,各,"each, every, either, respectively, severally",N1
1317330,おのずから,自ずから,"naturally, as a matter of course",N1
1612820,おはよう,お早う,Good morning,N1
1002330,おばあさん,お祖母さん,"grandmother, female senior-citizen",N1
1236630,おびえる,怯える,"to become frightened, to have a nightmare",N1
1565840,おびただしい,夥しい,"abundantly, innumerably",N1
1410430,おびる,帯びる,"to wear, to carry, to be entrusted, to have, to take on, to have a trace of, to be tinged with",N1
1206040,おぼえ,覚え,"memory, sense, experience",N1
1694410,おまけ,御負け,"1. a discount, a prize, 2. something additional, bonus, an extra, 3. an exaggeration",N1
1002120,おまわりさん,お巡りさん,policeman (friendly term),N1
1001790,おみや,お宮,Shinto shrine,N1
1270830,おむつ,お襁褓,"diaper, nappy",N1
1584680,おも,面,face,N1
1309380,おもいつき,思い付き,"plan, idea, suggestion",N1
1533580,おもしろい,面白い,"interesting, amusing",N1
1217070,おもちゃ,玩具,toy,N1
1589400,おもなる,重なる,"main, principal, important",N1
1328960,おもむき,趣,"meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement",N1
1498190,おもむく,赴く,"to go, to proceed, to repair to, to become",N1
1336770,おもやく,重役,"heavy responsibilities, director",N1
1335940,おもんじる,重んじる,"to respect, to honor, to esteem, to prize",N1
1335950,おもんずる,重んずる,"to honor, to respect, to esteem, to prize",N1
1612680,おやすみ,お休み,"holiday, absence, rest, Good night",N1
1589430,おやつ,お八つ,"1. (uk) between meal snack, afternoon refreshment, afternoon tea, 2. mid-day snack",N1
1523450,およそ,凡そ,"about, roughly, as a rule, approximately",N1
1228140,および,及び,"and, as well as",N1
1228170,およぶ,及ぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal",N1
1929820,おり,織,"weave, weaving, woven item",N1
1568410,おり,檻,"cage, pen, jail cell",N1
1385900,おりかえす,折り返す,"to turn up, to fold back",N1
1357450,おりもの,織物,"textile, fabric",N1
1357420,おる,織る,to weave,N1
1576870,おれ,俺,I (ego) (boastful first-person pronoun),N1
1245100,おろか,愚か,"foolish, stupid",N1
1396630,おろそか,疎か,"neglect, negligence, carelessness",N1
1589600,おわる,終わる,"to finish, to close",N1
1576910,ねいろ,音色,"tone color, tone quality, timbre, synthesizer patch",N1
1589620,おんわ,温和,"gentle, mild, moderate",N1
,か,仮,"tentative, provisional",N1
1192680,か,科,"department, section",N1
2220320,か,個,article counter,N1
1184480,かい,下位,"low rank, subordinate, lower order (e.g. byte)",N1
1203020,かい,階,"-floor (counter), stories",N1
1200760,かいあく,改悪,"deterioration, changing for the worse",N1
1201230,かいうん,海運,"maritime, marine transportation",N1
1200780,かいかく,改革,"reform, reformation, innovation",N1
1203130,かいがら,貝殻,shell,N1
1203040,かいきゅう,階級,"class, rank, grade",N1
1201320,かいきょう,海峡,channel,N1
1198500,かいけん,会見,"interview, audience",N1
1198060,かいご,介護,nursing,N1
1202710,かいさい,開催,"holding a meeting, open an exhibition",N1
1199470,かいしゅう,回収,"collection, recovery",N1
1200880,かいしゅう,改修,"repair, improvement",N1
1200280,かいじゅう,怪獣,monster,N1
1199030,かいじょ,解除,"cancellation, rescinding, release, calling off",N1
1199610,かいそう,回送,forwarding,N1
1203080,かいそう,階層,"class, level, stratum, hierarchy",N1
1202830,かいたく,開拓,"reclamation (of wasteland), cultivation, pioneer",N1
1198760,かいだん,会談,"conversation, conference, discussion, interview",N1
1201040,かいてい,改定,reform,N1
1201060,かいてい,改訂,revision,N1
1204650,かいどう,街道,highway,N1
1198110,かいにゅう,介入,intervention,N1
1202880,かいはつ,開発,"development, exploitation",N1
1201700,かいばつ,海抜,height above sea level,N1
1198130,かいほう,介抱,"nursing, looking after",N1
1199270,かいぼう,解剖,"dissection, autopsy",N1
1199800,かいらん,回覧,circulation,N1
1201820,かいりゅう,海流,ocean current,N1
1201140,かいりょう,改良,"improvement, reform",N1
1199830,かいろ,回路,circuit (electric),N1
1267870,かえりみる,顧みる,"to look back, to turn around, to review",N1
2836356,かえりみる,省みる,to reflect,N1
