rank,hebrew,english_gloss,matched_word,cefr_level
5626,שפעל,that/who acted / that/who operated (m.s.),who,A1
5646,שעסק,that/who dealt / that/who engaged / that/who worked (m.s.),who,A1
5647,שחלק,that part / who disagreed,who,A1
5648,שהוביל,that/who led / that/who transported (m.s.),who,A1
5720,המלון,the hotel / the melon,hotel,A1
5792,שעלה,that/who went up / that/who climbed / that/who increased / that/who immigrated (m.s.),who,A1
5793,שכמעט,that/who almost,who,A1
5828,שניסה,who tried (m.s.),who,A1
5832,כרטיס,ticket,ticket,A1
5851,לתחילת,to the start of,start,A1
5911,מיטב,the best,best,A1
5929,שעשו,that/who did (pl.),who,A1
6011,מסוגים,of kinds / of classes / of types,kind,A1
6030,תלמידו,his pupil / his student,student,A1
6059,סרטוני,film strips of,film,A1
6089,ששם,that/who placed / that/who put (m.s.) / that is there / that there / that the name of / that a name,who,A1
6121,חורף,winter,winter,A1
6135,ומי,and who / and whom,who,A1
6139,שיהיו,that/who will be (pl.),who,A1
6141,חם,hot / warm,warm,A1
6142,כשם,as / as the name of,name,A1
6182,שנפל,that/who fell (m.s.),who,A1
6239,המקדשים,the shrines / the temples / the sanctifiers / that/who sanctifies,who,A1
6256,בידיו,in his hands,hand,A1
6271,שקיבלה,that/who received / that/who accepted (f.s.),who,A1
6272,שעסקו,that/who dealt / that/who engaged / that/who worked (pl.),who,A1
6279,הקרויה,that/who is called (f.s.),who,A1
6280,העוסקות,that/who deal / that/who engage / who work (f.pl.),who,A1
6284,הרואים,that/who see (m.pl.),who,A1
6313,היוצר,that/who creates (m.s.) / the creator / the artist / the maker,who,A1
6451,ידה,her hand,hand,A1
6478,שישב,that/who sat (m.s.),who,A1
6499,שראה,that/who saw (m.s.),who,A1
6536,שיצאה,that/who went out / that /who came out (f.s.),who,A1
6553,הקוראים,the readers / who read / that/who call (m.pl.),who,A1
6570,בבנק,in/at a bank / in/at the bank,bank,A1
6629,שנפלו,that/who fell / who were killed in action (pl.),who,A1
6653,ששרדו,that/who survived,who,A1
6654,שהתנגדו,that/who resisted / who objected (pl.),who,A1
6686,שאיננו,that/who is not / that/who is not here / that/who is missing (m.s.),who,A1
6687,שהובילו,that/who led / that/who transported (pl.),who,A1
6696,המזוהה,the identified / that/who is associated [with] (m.s.) / the identified / that/who is associated [with] (f.s.),who,A1
6731,האוטובוס,the bus,bus,A1
6761,השונה,the different / that/who is different (m.s.),who,A1
6831,שאוכל,that I will be able / that I will eat / that/who eats (m.s.) / that was consumed / that was burnt,who,A1
6833,בנשף,at/in a ball / at/in a party / at/in the ball / at/in the party,party,A1
6866,כמי,as who / as whom,who,A1
6920,ואיש,and a man / and a person,person,A1
6931,שהעניקו,that/who gave (pl.),who,A1
6944,כדורסל,basketball,basketball,A1
6989,לאמות,llamas (animal),animal,A1
7089,ושמו,and his name / named / and they put,name,A1
7092,ובתחילת,and at the beginning / and at the start,start,A1
7142,ששכן,that/who lived / that/who dwelt (m.s.),who,A1
7151,התלמידים,the pupils / the students,student,A1
7160,למוזיאון,to/for a museum / to/for the museum,museum,A1
7179,דולרים,dollars,dollar,A1
7193,קובץ,file (computers) / collection,computer,A1
7209,תלמיד,pupil / student,student,A1
7239,המחשב,the computer,computer,A1
7240,הסוג,the kind / the class / the type,kind,A1
7259,זרועי,my arm,arm,A1
7285,המשרת,the servant / who serves (m.s.),who,A1
7299,הסטודנט,the student,student,A1
7325,החמה,the warm / the hot (f.s.) / the sun,warm,A1
7355,שעושים,that/who do (m.pl.),who,A1
7357,אמות,cubits / standards / I will die,die,A1
7370,ביש,bad / ill,bad,A1
7396,לחמש,to arm,arm,A1
7442,דקה,minute / thin (f.s.),minute,A1
7443,גרועה,bad (f.s.),bad,A1
7456,בגדה,betrayed (f.s.) / her cloth / at the bank / at the shore,bank,A1
7480,שתמכו,that/who supported (pl.),who,A1
7492,שהתנגד,that/who resisted / who objected (m.s.),who,A1
7498,העילית,the upper / the top / that/who stand / that/who are about to / that/who endure / that/who succeed / that/who,who,A1
7524,שביצע,that/who performed (m.s.),who,A1
7553,שטענו,who claimed / who argued (pl.),who,A1
7554,שנותר,that/who was left (m.s.),who,A1
7556,שנשלחו,that/who were sent,who,A1
7557,שנאספו,that were collected / that/who gathered,who,A1
7587,מצביעים,vote / raise a hand / point at / indicate (m.pl.),hand,A1
7588,מצביע,votes / raises a hand / points at / indicates (m.s.),hand,A1
7599,שחיו,that/who lived (pl.),who,A1
7602,שהעלה,that/who raised / that/who increased / that/who lifted / that/who brought up (m.s.),who,A1
7604,שספרו,that his book / that/who counted / who told,who,A1
7612,זרועות,arms,arm,A1
7654,אוטובוס,bus,bus,A1
7669,מחד,on the one hand,hand,A1
7671,לכלל,to all,all,A1
7703,שחיבר,that/who connected / who wrote (m.s.),who,A1
7709,הדורשים,that/who require / that/who demand (m.pl.),who,A1
7713,במעין,in a kind of - - / in a spring / in the spring,kind,A1
7741,המטפל,the care giver / who treats / who handles (m.s.),who,A1
7786,ממיני,of kind of / of genders of / of species of,kind,A1
7792,מוזיאונים,museums,museum,A1
7817,הרעים,the bad (m.pl.),bad,A1
7866,כאיש,as a man / as a person,person,A1
7905,שמצאו,that/who found (pl.),who,A1
7909,שאדם,that a man / that a person,person,A1
7913,שרצה,that/who wanted (m.s.) / that/who runs,who,A1
7929,הלהקה,the band,band,A1
7938,הרע,the bad,bad,A1
7939,הרגילים,the ordinary / the usual / the regular / the experienced / that/who are used to (m.pl.),who,A1
7970,בריתה,Brita (a birth party for a girl),party,A1
8041,הצביעו,voted / raised their hand / pointed at / indicated (pl.),hand,A1
8102,המשתמשים,that/who use (m.pl.) / the users,who,A1
8128,בבעיות,[in] problems / [in] the problems,problem,A1
8137,שנרצחו,who were murdered,who,A1
8164,תחנה,station,station,A1
8181,שמספר,that/who tells / that a number / that a few,who,A1
8194,בתחנת,at the station of,station,A1
8241,שעבד,that/who worked,who,A1
8252,המופיעה,that/who appears / that/who performs (f.s.),who,A1
8263,המפיק,the producer / that/who produces,who,A1
8270,שגילה,that/who discovered,who,A1
8285,למינים,to/for kinds / to/for species / to/for genders / to/for the kinds / to/for the species / to/for the genders,kind,A1
8375,היודע,that/who knows,who,A1
8382,רעות,bad (f.pl.) / friendship,bad,A1
8414,נבון,clever / intelligent,clever,A1
8475,ידיו,his hands,hand,A1
8510,שמצא,that/who found (m.s.),who,A1
8515,שלכל,that for/to all / that for/to everything / that for/to everyone / that for/to anyone,all,A1
8516,שעלול,that/who might (m.s.),who,A1
8518,שהובילה,that/who led / that/who transported (f.s.),who,A1
8519,שבאה,that/who is coming / that/who came (f.s.),who,A1
8547,העשוי,that is made of / that/who might,who,A1
8642,שהקימו,that/who established (pl.),who,A1
8667,מוט,rod / pole / bar,bar,A1
8683,שפעלה,that/who acted / that/who operated (f.s.),who,A1
8726,מכנה,names / calls (m.s.) / denominator,name,A1
8748,שמוצאם,that/who originated from (m.pl.),who,A1
8749,שמקורם,that/who originated from (m.pl.),who,A1
8752,שטען,that/who claimed / that/who argued (m.s.),who,A1
8810,הבולשת,the secret police / that/who spies (f.s.),who,A1
8822,המובילות,the leaders / the transporters (f.) / that/who lead / that/who transport (f.pl.),who,A1
8833,שמם,their name,name,A1
8857,המשלבים,that/who combine,who,A1
8871,מתלמידיו,from his students,student,A1
8884,שחי,that/who lives / that/who lived (m.s.) / arm pit,who,A1
8891,השייכת,that/who belongs to / that is relevant to (f.m.),who,A1
8896,הנדרשים,the required / that/who are required (m.pl.),who,A1
8898,במלון,at/in a hotel / at/in the hotel,hotel,A1
8931,התומכת,the supporting / that/who supports (f.s.),who,A1
8934,הבעיות,the problems,problem,A1
8998,מקצה,from an end / heat (sport),sport,A1
9029,לחורף,for a winter / for the winter,winter,A1
9057,שרצו,that/who wanted (pl.) / that they wanted,who,A1
9086,ושמן,and fat (adj.) (m.s.) / and their name (f.pl.),name,A1
9111,בכדורסל,in basketball,basketball,A1
9122,משתה,party / feast,party,A1
9169,שעורר,the/who woke / that/who has excited,who,A1
9175,שנשאו,that/who carried / who married (pl.),who,A1
9215,הגביר,the rich man / the lord / increased / amplified / strengthened (pl.),man,A1
9218,הרושם,the impression / that/who writes (m.s.),who,A1
9385,ששכנה,that/who lived / that/who dwelt (f.s.) / that a neighbor (f.s.),who,A1
9386,שקמו,that/who stood up / that/who woke up / that were established,who,A1
9388,שסברו,that/who thought / that/who assumed (pl.),who,A1
9389,שניסח,who phrased,who,A1
9487,בנקים,banks,bank,A1
9503,היכול,that/who can / can you?,who,A1
9529,תלמידיו,his pupils / his students,student,A1
9536,שוכנת,lives / dwells (f.s.) / that/who were introduced / that were displayed / that were presented / that were,who,A1
9539,שנבחר,that/who was elected / that/who was selected (m.s.),who,A1
9552,השוכן,that/who lives [in] (m.s.),who,A1
9572,שהקים,that/who established (m.s.),who,A1
9596,המסוגלים,that/who are capable,who,A1
9620,למיני,to/for kinds of / to/for species of,kind,A1
9626,בסוגי,in kinds of / in classes of / in types of,kind,A1
9669,לבא,to/for the next / to/for the person who is coming,who,A1
9681,שישבה,that/who sat (f.s.),who,A1
9683,שאמרה,who said (f.s.),who,A1
9702,המגלה,the discoverer / that/who discovers,who,A1
9731,מכולם,from all,all,A1
9738,שידע,that/who knew (m.s.),who,A1
9794,הגבר,the man,man,A1
9834,חמה,hot / warm (f.s.) / sun,warm,A1
9853,החם,the hot / the warm,warm,A1
9865,במינו,in his kind,kind,A1
9899,ידיהם,their hands,hand,A1
9932,וחיות,and live (f.pl.) / and animals / and vitality,animal,A1
9946,שהתחיל,that/who started (m.s.),who,A1
9949,שנשאה,that/who carried / who married (f.s.),who,A1
9981,המביא,that/who brings (m.s.),who,A1
10000,הטכנולוגיה,the technology / Like the site? Find it useful? / Click here to support the site and get something cool in return. / ​ / Copyright © 2026 TeachMeHebrew. All Rights Reserved.,all,A1
35,עוד,more / musical instrument,musical,A2
45,כן,yes / sincere / stand (n.),stand,A2
98,המלחמה,the war,war,A2
135,מלחמת,the war of,war,A2
219,מדי,too / whenever / as often as / the uniform of,uniform,A2
253,ועוד,and more / and still / plus,plus,A2
310,מיליון,million,million,A2
442,פחות,less / minus / inferior / lesser (m.s.),minus,A2
459,מלחמה,war,war,A2
717,הפועל,the worker / that operates / the verb,verb,A2
730,במלחמה,at war / in the war,war,A2
830,הזהב,the gold,gold,A2
852,במלחמת,in the war of,war,A2
867,למלחמה,to war / to [the] war,war,A2
906,צוות,team / staff,team,A2
937,לעמוד,to stand / to page / [to/for] a pillar / to the page / [to/for] the pillar,stand,A2
940,מידע,information,information,A2
957,הקים,established / made someone stand,stand,A2
967,פועל,worker / operates (m.s.) / verb,verb,A2
978,פרטים,details / individuals,details,A2
1021,לאומי,national (m.s.),national,A2
1039,עומד,stands / is about to / endures / succeeds / insists on (m.s.),stand,A2
1049,האלבום,the album,album,A2
1119,הצוות,the team / the staff,team,A2
1158,ברגע,in an instance / at the moment [that],moment,A2
1170,הלאומי,the national (m.s.),national,A2
1208,נפילת,fall of,fall,A2
1227,הוקם,was established / was made to stand (m.s.),stand,A2
1230,רגע,moment,moment,A2
1829,זהב,gold,gold,A2
1859,נבחרת,team / elected / selected (f.s.),team,A2
1860,הנבחרת,the team / the elected / the selected (f.s.),team,A2
1934,הלאומית,the national (f.s.),national,A2
2024,בולט,protruding / stands out (m.s.),stand,A2
2314,עומדת,stands / is about to / endures / succeeds / insists on (f.s.),stand,A2
2321,המידע,the information,information,A2
2324,מלחמות,wars,war,A2
2455,הפרטים,the details / the individuals,details,A2
2456,האצבעות,the fingers,finger,A2
2865,השבויים,the prisoners (of war),war,A2
2899,אלבום,album,album,A2
2934,וידאו,video,video,A2
3075,בולטת,protruding / stands out (f.s.),stand,A2
3198,במקורות,[in] the sources / in the text / [in] the sources of,text,A2
3237,עומדים,stand / are about to / endure / succeed / insist on (m.pl.),stand,A2
3323,ניצב,stands / perpendicular / vertical,stand,A2
3538,ציר,axis / axle / hinge / delegate / sauce / contraction,sauce,A2
3747,אצבעות,fingers,finger,A2
3800,בריכת,pool of,pool,A2
3803,במדי,in the uniform of,uniform,A2
3933,בולטים,protruding / stand out (m.pl.),stand,A2
3948,המקורות,the sources / the text,text,A2
4048,שבויים,prisoners (of war),war,A2
4260,בריכות,pools,pool,A2
4265,הלאומיים,the national (m.pl.),national,A2
4307,הרגע,this moment,moment,A2
4408,העממית,the popular / the national / the folk (f.s.),national,A2
4412,המודיעין,the information / the intelligence,information,A2
4592,הציר,the axis / the axle / the hinge / the delegate / the sauce / the contraction,sauce,A2
4603,סיור,tour,tour,A2
4689,קרח,ice,ice,A2
4765,מיליוני,millions of,million,A2
4801,הקרח,the ice,ice,A2
4841,למלחמת,to the war of,war,A2
4869,להתאים,to fit / to match / to suit,fit,A2
4902,לאומית,national (f.s.),national,A2
5193,רגעים,moments,moment,A2
5258,לקום,to stand up / to wake up,stand,A2
5327,מודיעין,information / intelligence,information,A2
5420,בדיעבד,post factum,post,A2
5620,מרגע,from the moment [of],moment,A2
5644,שותף,partner,partner,A2
5664,נפילתו,his fall,fall,A2
5668,צירים,axes / axles / hinges / delegates / sauces / contractions,sauce,A2
5679,הסברה,explanation / information,information,A2
5779,נופלים,fall (m.pl.),fall,A2
5870,אמה,her mother / maid (archaic) / third finger / cubit,finger,A2
5910,המלחמות,the wars,war,A2
5987,ברבים,in many / plural,plural,A2
6018,מאגר,reservoir / pool,pool,A2
6378,פעלים,acts / verbs,verb,A2
6403,לפטפט,to chat,chat,A2
6423,הצנימים,the toasts,toast,A2
6442,ומדי,and whenever / and as often as / and the uniform of,uniform,A2
6447,כרגע,at the moment,moment,A2
6697,המחזמר,the musical,musical,A2
6901,נופל,falls (m.s.),fall,A2
6935,עממית,popular / national / folk (f.s.),national,A2
6978,טבעת,ring,ring,A2
7382,מזהב,of gold,gold,A2
7517,וזהב,and gold,gold,A2
7531,במלחמות,in/at wars / in the wars,war,A2
7617,הועמד,was caused to stand (m.s.),stand,A2
7662,מכשיר,tool / instrument / qualified (m.s.) / qualifies (m.s.),instrument,A2
7737,טקסטים,texts,text,A2
7825,מיליונים,millions,million,A2
7945,גז,gas / shearing,gas,A2
8007,מוצב,placed / positioned / posted (m.s.) / post / position (military),post,A2
8076,תיירים,tourists,tourist,A2
8107,הלאומיות,the national (f.pl.) / the nationality / the patriotism,national,A2
8160,הבולטות,the protruding / that stand out (f.pl.),stand,A2
8280,מתפרק,falls apart / decomposed (m.s.),fall,A2
8400,המכשיר,the instrument / the tool,instrument,A2
8421,לתור,[to] a line / [to] the line / to explore / to tour / to inquire,tour,A2
8452,בולטות,protruding / stand out (f.pl.),stand,A2
8944,אלבומי,my album / my albums / the albums of,album,A2
8945,אלבומה,her album,album,A2
9247,נבחרות,the teams / the elected / the selected (f.pl.),team,A2
9265,והמלחמה,and the war,war,A2
9282,הולם,fits (cloth) / appropriate,fit,A2
9581,אחיד,unified / homogenous / uniform,uniform,A2
9671,לנפול,to fall,fall,A2
9775,לרגע,for a moment / for this moment,moment,A2
9857,הגז,the gas / the shearing,gas,A2
9916,להעמיד,to cause to stand / to erect / to set up,stand,A2
9987,הקימה,raised / caused to stand up / established,stand,A2
68,לפני,before / in front of / ago,front,B1
137,מול,against / in front of,front,B1
160,אמרה,said (f.s.) / phrase / fringe,phrase,B1
276,מערכת,system / editorial board,system,B1
288,כתב,writing / wrote (m.s.) / reporter,reporter,B1
