english_word,part_of_speech,german,cefr_level,guideword,topic
access,verb,Zugang,B2,,technology
accessible,adjective,zugänglich,B2,REACH,
accessible,adjective,zugänglich,C2,UNDERSTAND,
accessory,noun,Zubehör,C1,,
accident,noun,Unfall,A2,BAD EVENT,body and health
accidental,adjective,zufällig,B2,,
accidentally,adverb,versehentlich,B2,,
"accident-/injury-, etc. prone",phrase,anfällig für Unfälle/Verletzungen usw,C2,,
acclaimed,adjective,gefeiert,C1,,
accommodation,noun,Unterkunft,B1,,"buildings, travel"
accompany,verb,begleiten,B1,GO WITH,
accompany,verb,begleiten,B1,HAPPEN TOGETHER,
accompany,verb,begleiten,C2,MUSIC,arts and media
accomplish,verb,erreichen,C1,,
according to,preposition,entsprechend,B1,OPINION,communication
according to,preposition,entsprechend,B2,METHOD,
account,noun,Konto,B1,BANK,money
account,noun,Konto,B2,REPORT,communication
accountable,adjective,verantwortlich,C2,,
accountant,noun,Buchhalter,B1,,"money, work"
account for sth,phrasal verb,Konto für,C2,,communication
accumulate,verb,akkumulieren,C1,,
accumulation,noun,Akkumulation,C2,,
accuracy,noun,Genauigkeit,B2,,describing things
accurate,adjective,genau,B1,,describing things
accurately,adverb,genau,B1,,
accusation,noun,Anklage,C1,,
accuse,verb,beschuldigen,B2,,"communication, crime"
accustomed to sth/doing sth,phrase,gewohnt/tun,C1,,
a certain,phrase,ein gewisses,B2,,
a change of clothes,phrase,ein Wechsel der Kleidung,A2,,clothes
a change of heart,phrase,ein Sinneswandel,C2,IDIOM,
ache,noun,schmerzen,B1,,body and health
ache,verb,schmerzen,B2,,body and health
achieve,verb,erreichen,B1,,people: actions
achievement,noun,Leistung,B1,,people: actions
acid,noun,Säure,B2,,natural world
acknowledge,verb,anerkennen,C1,ACCEPT,
acknowledge,verb,anerkennen,C1,SAY RECEIVED,
a clap of thunder,phrase,ein Donnerschlag,C2,,
a conflict of interest,phrase,ein Interessenkonflikt,C2,,
"a conscious decision/choice/effort, etc.",phrase,eine bewusste Entscheidung/Wahl/Anstrengung usw.,C2,,
acquaintance,noun,Bekanntschaft,C1,,
acquire,verb,erwerben,B2,GET,people: actions
acquire,verb,erwerben,B2,LEARN,people: actions
acre,noun,Acre,C2,,describing things
across,adverb,über,A2,,describing things
across,preposition,über,A2,,describing things
across the board,phrase,auf ganzer Linie,C2,IDIOM,
act,verb,Akt,B1,PERFORM,arts and media
act,verb,Akt,B1,BEHAVE,people: actions
act,verb,Akt,B2,DO SOMETHING,people: actions
act,noun,Akt,B1,THEATRE,arts and media
act,noun,Akt,B2,THING DONE,people: actions
act,noun,Akt,C2,FALSE BEHAVIOUR,
act as sth,phrasal verb,handeln als,B2,,work
action,noun,Aktion,B1,ACTIVITY,people: actions
action,noun,Aktion,B2,DO,people: actions
action,noun,Aktion,C2,FIGHTING,
action,noun,Aktion,C2,PROCESS,
active,adjective,aktiv,B1,BUSY,"people: personality, work"
active,adjective,aktiv,B1,GRAMMAR,
active,adjective,aktiv,B2,INVOLVED,
active,adjective,aktiv,C1,VOLCANO,natural world
actively,adverb,aktiv,B2,,
activity,noun,Aktivität,A2,EVENT,"people: actions, shopping"
activity,noun,Aktivität,B2,WORK,work
activity,noun,Aktivität,B2,MOVEMENT,
actor,noun,Schauspieler,A2,,"arts and media, work"
actual,adjective,tatsächlich,B2,REAL,
actually,adverb,Genau genommen,A2,TRUTH,communication
actually,adverb,Genau genommen,B1,SURPRISE,communication
actually,adverb,Genau genommen,B2,OPPOSITE,communication
ad,noun,Anzeige,B1,,arts and media
"a dance/language/riding, etc. school",phrase,eine Tanz-/Sprach-/Reitschule usw,A2,,education
adapt,verb,anpassen,B2,CHANGE BEHAVIOUR,people: actions
adapt,verb,anpassen,B2,CHANGE SOMETHING,people: actions
adaptation,noun,Anpassung,C1,,
add,verb,hinzufügen,A2,PUT WITH,people: actions
add,verb,hinzufügen,A2,CALCULATE,people: actions
add,verb,hinzufügen,B1,SAY MORE,communication
addict,noun,süchtig,B2,,body and health
addicted,adjective,süchtig,B2,DRUGS,body and health
addicted,adjective,süchtig,B2,LIKING,people: personality
addiction,noun,Sucht,B2,,body and health
addictive,adjective,süchtig machend,C1,,
add insult to injury,phrase,um die Verletzung noch schlimmer zu machen,C2,,
addition,noun,Zusatz,B2,NEW THING,
addition,noun,Zusatz,B2,NUMBERS/AMOUNTS,describing things
additional,adjective,zusätzlich,B2,,describing things
additionally,adverb,zusätzlich,B2,,"communication, describing things"
address,noun,Adresse,A1,BUILDING DETAILS,buildings
address,noun,Adresse,A1,ELECTRONIC,technology
address,verb,Adresse,C1,DEAL WITH,
address,verb,Adresse,C2,SPEAK,communication
address,verb,Adresse,C2,BUILDING DETAILS,
add to sth,phrasal verb,Hinzufügen zu,B2,,
add up (sth) or add (sth) up,phrasal verb,(etw) addieren oder (etw) addieren,B1,,people: actions
a deep sleep,phrase,ein tiefer Schlaf,B2,,
adequate,adjective,angemessen,B2,ENOUGH,describing things
adequate,adjective,angemessen,B2,GOOD ENOUGH,describing things
adequately,adverb,ausreichend,B2,,describing things
"a dim memory/recollection, etc.",phrase,eine schwache Erinnerung/Erinnerung usw.,C2,,
"a display of affection/anger, etc.",phrase,eine Zurschaustellung von Zuneigung/Wut usw.,C2,,people: personality
adjacent,adjective,benachbart,C2,,describing things
adjective,noun,Adjektiv,A2,,
adjust,verb,anpassen,B2,CHANGE,people: actions
adjust,verb,anpassen,B2,CHANGE BEHAVIOUR,people: actions
adjustment,noun,Einstellung,B2,,people: actions
administration,noun,Verwaltung,C1,,
administrative,adjective,administrativ,C1,,
administrator,noun,Administrator,C1,,
admiration,noun,Bewunderung,B2,,people: personality
admire,verb,bewundern,B1,LOOK AT,
admire,verb,bewundern,B2,RESPECT,people: personality
admission,noun,Zulassung,B1,MONEY,money
admission,noun,Zulassung,B2,PERMISSION,education
admit,verb,zugeben,B1,,communication
admittedly,adverb,freilich,B2,,communication
adolescent,noun,Jugendlicher,C2,,people: appearance
adopt,verb,adoptieren,B2,TAKE CHILD,relationships
adopt,verb,adoptieren,B2,START,people: actions
adopted,adjective,angenommen,B2,,relationships
adoption,noun,Annahme,B2,,relationships
a dose of sth,phrase,eine Dosis von,B2,,
a double-edged sword,phrase,ein zweischneidiges Schwert,C2,IDIOM,
a downward spiral,phrase,eine Abwärtsspirale,C2,,
a drain on sth,phrase,ein Abfluss auf,C2,,
a drop in the ocean,phrase,ein Tropfen im Ozean,C2,IDIOM,
adult,noun,Erwachsene,A1,,people: appearance
adult,adjective,Erwachsene,C1,NOT A CHILD,
adult,adjective,Erwachsene,A2,FOR ADULTS,
advance,noun,Vorauszahlung,B2,PROGRESS,
advanced,adjective,fortschrittlich,A2,HIGHER LEVEL,describing things
advanced,adjective,fortschrittlich,B1,MODERN,describing things
advantage,noun,Vorteil,B1,USEFUL THING,
advantage,noun,Vorteil,B2,SUCCESS,
adventure,noun,Abenteuer,A2,,travel
adventurous,adjective,abenteuerlich,B2,,people: personality
adverb,noun,Adverb,A2,,
adverse conditions/effect(s)/impact,phrase,Ungünstige Bedingungen/Auswirkung(en)/Auswirkung,C2,,describing things
advert,noun,hinweisen,B1,,arts and media
advertise,verb,werben,B1,TRY TO SELL,arts and media
advertise,verb,werben,B1,ASK FOR,work
advertisement,noun,Werbung,A2,,arts and media
advertising,noun,Werbung,B2,,"arts and media, work"
advice,noun,Beratung,A2,,communication
advise,verb,beraten,B1,,communication
adviser,noun,Berater,C1,,work
advocate,verb,Fürsprecher,C2,,
advocate,noun,Fürsprecher,C2,,
aeroplane,noun,Flugzeug,A2,,travel
"a fair amount/distance/size, etc.",phrase,eine angemessene Menge/Entfernung/Größe usw.,C2,,
a faraway look/expression,phrase,ein entfernter Blick/Ausdruck,C2,,
a fast track (to sth),phrase,ein schneller Weg (zu),C2,IDIOM,
a few,phrase,ein paar,A2,,describing things
affair,noun,Affäre,B2,RELATIONSHIP,relationships
affair,noun,Affäre,B2,SITUATION,
affect,verb,beeinflussen,B2,CAUSE CHANGE,
affect,verb,beeinflussen,B2,CAUSE EMOTION,
affection,noun,Zuneigung,B2,,people: personality
affectionate,adjective,liebevoll,C2,,people: personality
affluent,adjective,wohlhabend,C1,,money
affordable,adjective,erschwinglich,C1,,
a fine/thin line,phrase,eine feine/dünne Linie,C1,IDIOM,
a flight of stairs/steps,phrase,eine Treppe/Stufe,C2,,
a force to be reckoned with,phrase,"eine Kraft, mit der man rechnen muss",C2,,
afraid,adjective,besorgt,A2,FEAR,people: personality
afraid,adjective,besorgt,B1,WORRIED,people: personality
a free hand,phrase,eine freie Hand,C2,IDIOM,
after,preposition,nach,A1,TIME/EVENT,
after,preposition,nach,A2,PAST A PLACE,describing things
after,preposition,nach,A2,ORDER,describing things
after,preposition,nach,B1,FOLLOWING,describing things
after,preposition,nach,B2,BECAUSE OF,
after,preposition,nach,C1,DESPITE,
after,preposition,nach,C2,NAMED FOR,
after,adverb,nach,A2,,
after,conjunction,nach,B1,,
after all,phrase,schließlich,B1,,communication
after all,phrase,schließlich,C1,,
afternoon,noun,Nachmittag,A1,,
afterwards,adverb,nachher,A2,,
"a further 10/100, etc.",phrase,weitere 10/100 usw.,C1,,
again,adverb,wieder,A2,AS BEFORE,
again,adverb,wieder,A1,ONE MORE TIME,
again and again,phrase,immer wieder,B1,,
against,preposition,gegen,A2,COMPETING,
against,preposition,gegen,B1,OPPOSITE DIRECTION,
against,preposition,gegen,A2,TOUCHING,describing things
against,preposition,gegen,B2,NOT AGREE,communication
against all (the) odds,phrase,allen Widrigkeiten zum Trotz,C2,,
"against sb's advice/wishes, etc.",phrase,gegen Ratschläge/Wünsche usw.,C2,,
against the law,phrase,gegen das Gesetz,B2,,crime
a gap in the market,phrase,eine Marktlücke,C2,,
age,noun,Alter,A1,HOW OLD,
age,noun,Alter,B1,PERIOD,
age,noun,Alter,C2,OLD,
aged,adjective,gealtert,A2,,people: appearance
agency,noun,Agentur,B1,BUSINESS,work
agency,noun,Agentur,C1,ORGANIZATION,
agenda,noun,Agenda,C2,IMPORTANT SUBJECTS,
agenda,noun,Agenda,C1,MEETING,
agent,noun,Agent,B2,BUSINESS,"shopping, work"
agent,noun,Agent,B2,SECRET INFORMATION,work
ages,noun,Alter,B1,,
aggression,noun,Aggression,C1,,
aggressive,adjective,aggressiv,C1,DETERMINED,
aggressive,adjective,aggressiv,B2,VIOLENT,people: personality
aggressively,adverb,aggressiv,B2,,people: personality
ago,adverb,vor,A2,,
"a good 20 minutes/30 miles, etc.",phrase,gute 20 Minuten/30 Meilen usw.,C2,,
a good deal,phrase,ein gutes Geschäft,C1,,describing things
"a good/easy, etc. read",phrase,eine gute/einfache usw. Lektüre,C2,,
a good/great deal,phrase,ein gutes/tolles Angebot,B2,,describing things
a great deal,phrase,viel,B2,,describing things
agree,verb,zustimmen,A2,SAME OPINION,communication
agree,verb,zustimmen,B1,DECIDE,
agree,verb,zustimmen,B2,SAY YES,
agree,verb,zustimmen,C1,BE THE SAME,
agreement,noun,Vereinbarung,B2,DECISION,communication
agreement,noun,Vereinbarung,B2,SAME OPINION,communication
agree with sth,phrasal verb,stimme zu,B2,,
agriculture,noun,Landwirtschaft,B2,,
a hand,phrase,eine Hand,B1,,
a handful of,phrase,eine Handvoll,B2,,describing things
"a handsome profit/sum, etc.",phrase,ein stattlicher Gewinn/Summe usw.,C2,,
ahead,adverb,voraus,B1,FUTURE,
ahead,adverb,voraus,B1,IN FRONT,
ahead,adverb,voraus,B2,MORE POINTS,
ahead,adjective,voraus,C2,MORE PROGRESS,
ahead of time/schedule,phrase,vor der Zeit/dem Zeitplan,C1,,
a hint of sth,phrase,ein Hinweis auf,C2,,
a history of sth,phrase,eine Geschichte von,C1,,body and health
a hold on/over sth/sb,phrase,jdn. festhalten,C2,,
a horror film/movie/story,phrase,ein Horrorfilm/Film/eine Horrorgeschichte,B1,,arts and media
a host of sth,phrase,eine Menge,C1,,
a hot issue/topic,phrase,ein heißes Thema/Thema,C1,,
aid,noun,Hilfe,C1,HELP,
aid,noun,Hilfe,C1,EQUIPMENT,
aid,verb,Hilfe,C1,,
aim,noun,Ziel,B1,,
aim to do sth,phrase,Ziel ist es zu tun,B1,,
air,noun,Luft,A2,AIRCRAFT,travel
air,noun,Luft,A2,GAS,natural world
air,noun,Luft,C2,QUALITY,
air conditioning,noun,Klimaanlage,B1,,buildings
aircraft,noun,Flugzeug,B2,,travel
air force,noun,Luftwaffe,B1,,
airline,noun,Fluggesellschaft,B1,,"travel, work"
airport,noun,Flughafen,A2,,travel
a labour of love,phrase,eine Arbeit der Liebe,C2,IDIOM,
alarm,noun,Alarm,B1,WARNING,communication
alarm,noun,Alarm,B1,WAKING,
alarm,noun,Alarm,C2,WORRY,
alarm,verb,Alarm,C1,,
alarm clock,noun,Wecker,A2,,
alarming,adjective,alarmierend,C1,,
a last resort,phrase,,C2,,
albeit,conjunction,obwohl,C2,,
album,noun,Album,A2,MUSIC,arts and media
album,noun,Album,A2,BOOK,
alcohol,noun,Alkohol,A2,,food and drink
alcoholic,adjective,Alkoholiker,B1,DRINK,food and drink
alcoholic,adjective,Alkoholiker,C2,PERSON,people: personality
alcoholic,noun,Alkoholiker,C2,,
alert,adjective,Alarm,C1,,people: personality
alert,verb,Alarm,C2,,
alert,noun,Alarm,C1,,
alike,adjective,gleich,B1,,
alike,adverb,gleich,B2,SIMILAR,
alike,adverb,gleich,B2,BOTH,
a little,phrase,ein wenig,B2,,describing things
a little bit,phrase,ein bisschen,A2,,describing things
a little sth,phrase,ein wenig,B1,,describing things
alive,adjective,lebendig,B1,LIVING,body and health
alive,adjective,lebendig,C2,CONTINUING,
alive,adjective,lebendig,C2,PLACE,
all,determiner,alle,A1,EVERY ONE,communication
all,determiner,alle,A1,WHOLE TIME,
all,determiner,alle,A2,WHOLE AMOUNT,
all,determiner,alle,B1,ONLY THING,
all,adverb,alle,A2,COMPLETELY,
all along,phrase,die ganze Zeit,B2,,
all at once,phrase,auf einmal,C1,,
all but,phrase,alles andere als,C2,,
all day long,phrase,den ganzen Tag,B1,,
allegation,noun,Behauptung,C1,,communication
allege,verb,behaupten,C2,,communication
alleged,adjective,angeblich,C1,,
allegedly,adverb,angeblich,C2,,
all hours,phrase,alle Stunden,C1,,
alliance,noun,Allianz,C2,,
allied,adjective,verbündet,C2,,
all in all,phrase,insgesamt,B2,,communication
(all) in one,phrase,(alles) in einem,C2,,
all is well,phrase,alles ist gut,B1,,
all/just the same,phrase,alle/genauso,C1,,communication
all kinds of sth,phrase,alle möglichen,A2,,
allocate,verb,zuordnen,C1,,
allocation,noun,Zuweisung,C2,SHARE,
allocation,noun,Zuweisung,C2,PROCESS,
all of a sudden,phrase,plötzlich,B2,,
(all) on your own,phrase,(alles) alleine,B1,,
all over again,phrase,alles noch einmal,B2,,
all over somewhere,phrase,überall irgendwo,A2,,
all over somewhere,phrase,überall irgendwo,B1,,
all over the place,phrase,überall,B2,,
allow,verb,erlauben,B1,GIVE PERMISSION,
allow,verb,erlauben,C1,TIME/MONEY,
allow,verb,erlauben,C1,MAKE POSSIBLE,
allow,verb,erlauben,C2,NOT PREVENT,
allowance,noun,Zuschuss,C1,MONEY,money
all right,adjective,in Ordnung,A1,WITHOUT PROBLEMS,
all right,adjective,in Ordnung,A2,WELL,body and health
all right,adjective,in Ordnung,A2,PERMISSION,
all right,adjective,in Ordnung,B1,GOOD ENOUGH,
all right,exclamation,in Ordnung,A1,,communication
all shapes and sizes,phrase,alle Formen und Größen,C2,,describing things
all sorts of sth,phrase,allerlei,A2,,
all the best,phrase,alles Gute,A2,,communication
"all the better/easier/more exciting, etc.",phrase,umso besser/einfacher/spannender usw.,C2,,
all the time,phrase,die ganze Zeit,A2,,
all the way,phrase,den ganzen Weg,B2,,
all things considered,phrase,Alles in allem,C1,,communication
(all) to myself,phrase,(alle) für mich,C1,,
ally,noun,Verbündete,C1,PERSON,
ally,noun,Verbündete,C2,COUNTRY,
almost,adverb,fast,A2,,
a load/loads,phrase,eine Ladung/Ladungen,B1,,describing things
alone,adjective,allein,A2,WITHOUT PEOPLE,
alone,adjective,allein,C2,ONLY ONE,
along,preposition,entlang,A2,DIRECTION,
along,preposition,entlang,B1,NEXT TO,describing things
along,preposition,entlang,B2,PARTICULAR PLACE,
along,adverb,entlang,B1,FORWARD,
along,adverb,entlang,B1,WITH YOU,
alongside,adverb,neben,C1,NEXT TO,describing things
alongside,adverb,neben,C1,WITH,
along the lines of sth,phrase,nach dem Vorbild von,C2,,
along with sb/sth,phrase,zusammen mit etw,B2,,
a lot,phrase,eine Menge,A1,,describing things
a lot/lots,phrase,,A1,,describing things
aloud,adverb,laut,B1,,
alphabet,noun,Alphabet,B1,,communication
alphabetical,adjective,alphabetisch,B2,,communication
already,adverb,bereits,B1,EARLY,
already,adverb,bereits,A2,BEFORE NOW,
alright,adjective,In Ordnung,A2,WELL,body and health
alright,adjective,In Ordnung,A2,WITHOUT PROBLEMS,
alright,adjective,In Ordnung,A2,PERMISSION,
alright,adjective,In Ordnung,B1,GOOD ENOUGH,
alright,exclamation,In Ordnung,A1,,communication
also,adverb,Auch,A1,,
alter,verb,ändern,B2,,
alteration,noun,Änderung,C1,,
alternate,verb,wechseln,C1,,
"alternate days/weeks/years, etc.",phrase,abwechselnde Tage/Wochen/Jahre usw.,C1,,
alternative,noun,Alternative,B2,,
alternative,adjective,Alternative,B2,NOT USUAL,
alternative,adjective,Alternative,B2,DIFFERENT PLAN,
alternatively,adverb,alternativ,B2,,communication
although,conjunction,Obwohl,B1,BUT,communication
although,conjunction,Obwohl,B1,DESPITE,communication
altogether,adverb,insgesamt,B1,TOTAL,
altogether,adverb,insgesamt,B2,COMPLETELY,
altogether,adverb,insgesamt,B2,GENERALLY,
aluminium,noun,Aluminium,B2,,natural world
always,adverb,stets,A1,EVERY TIME,
always,adverb,stets,A2,UNTIL NOW,
always,adverb,stets,B2,MANY TIMES,
always,adverb,stets,A2,FOREVER,
a.m.,adverb,Bin.,A1,,
a mark of sth,phrase,ein Zeichen von,C2,,
a mass of sth,phrase,eine Masse von,B2,,describing things
amateur,adjective,Amateur,C1,,
amateur,noun,Amateur,C1,HOBBY,
amateur,noun,Amateur,C1,NO SKILL,
"a matter of confidence/luck/waiting, etc.",phrase,eine Frage des Vertrauens/Glücks/Wartens usw.,C2,,
a matter of course,phrase,eine Selbstverständlichkeit,C1,,
a matter of days/weeks/feet etc.,phrase,eine Frage von Tagen/Wochen/Fuß usw.,C2,,
a matter of life and/or death,phrase,eine Frage von Leben und/oder Tod,C2,,
amazed,adjective,erstaunt,B1,,people: personality
amazement,noun,Staunen,B2,,people: personality
amazing,adjective,toll,A2,GOOD,describing things
amazing,adjective,toll,B1,SURPRISING,people: personality
amazingly,adverb,erstaunlich,B1,,people: personality
ambassador,noun,Botschafter,B2,,"politics, work"
ambiguity,noun,Mehrdeutigkeit,C2,,
ambiguous,adjective,mehrdeutig,C2,,
ambition,noun,Ehrgeiz,B1,HOPE,
ambition,noun,Ehrgeiz,B2,STRONG FEELING,people: personality
ambitious,adjective,ehrgeizig,B2,PERSON,people: personality
ambitious,adjective,ehrgeizig,B2,PLAN,
ambulance,noun,Krankenwagen,A2,,"body and health, travel"
a means to an end,phrase,ein Mittel zum Zweck,C2,,
a measure of sth,phrase,ein Maß für,C2,,
amend,verb,ändern,C2,,
amendment,noun,Änderung,C1,,
"American/Italian, etc. by birth",phrase,Amerikaner/Italiener usw. von Geburt an,B2,,
amid,preposition,inmitten,C1,WHILE,
amid,preposition,inmitten,C2,AMONG,
among,preposition,unter,A2,IN A GROUP,
among,preposition,unter,B1,IN THE MIDDLE,describing things
among,preposition,unter,C1,DIVIDE,
among other things,phrase,unter anderem,B2,,communication
amongst,preposition,unter,B2,,
"among the best/worst/biggest, etc.",phrase,,B2,,
amount,noun,Menge,B1,,describing things
ample,adjective,reichlich,C1,,
amuse,verb,amüsieren,B2,MAKE LAUGH,communication
amuse,verb,amüsieren,B2,KEEP INTERESTED,
amused,adjective,amüsiert,B2,FUNNY,people: personality
amusement,noun,Amüsement,B2,FEELING,people: personality
amusement,noun,Amüsement,B2,ENTERTAINMENT,
amusing,adjective,amüsant,B1,,describing things
an,determiner,ein,A1,,
analogous,adjective,analog,C2,,
analogy,noun,Analogie,C2,,
analyse,verb,analysieren,B2,,people: actions
analysis,noun,Analyse,B2,,
analyst,noun,Analytiker,B2,,work
analytical,adjective,analytisch,C1,,
an appetite for something,phrase,Appetit auf etwas,C2,,
"an army/prison/refugee, etc. camp",phrase,ein Armee-/Gefängnis-/Flüchtlingslager usw,B2,,buildings
a narrow escape,phrase,eine knappe Flucht,C2,,
"an aspiring actor/politician/writer, etc.",phrase,ein aufstrebender Schauspieler/Politiker/Autor usw.,C2,,
an authority on sth,phrase,eine Autorität auf,C2,,
an awful lot (of sth),phrase,eine Menge (von),B2,,describing things
ancestor,noun,Vorfahr,B2,,relationships
anchor,noun,Anker,C2,BOAT,
anchor,noun,Anker,C2,SUPPORT,
anchor,verb,Anker,C2,BOAT,
anchor,verb,Anker,C2,FASTEN,
ancient,adjective,uralt,B1,,describing things
and,conjunction,Und,A1,ALSO,communication
and,conjunction,Und,A1,AFTER,communication
and,conjunction,Und,A1,NUMBERS,
and,conjunction,Und,A2,AFTER VERB,communication
and,conjunction,Und,B1,EMPHASIZE,communication
and all that,phrase,und das alles,B1,,
and so on,phrase,und so weiter,A2,,describing things
and so on,phrase,und so weiter,A2,,communication
an educated guess,phrase,eine fundierte Vermutung,C2,,
an element of sth,phrase,ein Element von,C2,,
a nest egg,phrase,ein Notgroschen,C2,IDIOM,
angel,noun,Engel,B1,,
anger,noun,Wut,B2,,people: personality
angle,noun,Winkel,C1,SPACE,describing things
angle,noun,Winkel,C1,DIRECTION,
angle,noun,Winkel,C1,WAY OF THINKING,
angrily,adverb,wütend,B1,,people: personality
angry,adjective,wütend,A2,,people: personality
animal,noun,Tier,A1,NOT A HUMAN,animals
animal,noun,Tier,B2,NOT A PLANT,
animated,adjective,animiert,B1,FILM,arts and media
animated,adjective,animiert,C2,EXCITEMENT,people: personality
animation,noun,Animation,B1,,arts and media
an intimate knowledge/understanding of sth,phrase,ein intimes Wissen/Verständnis von,C2,,
an invasion of privacy,phrase,eine Verletzung der Privatsphäre,C2,,
"an isolated case/event/example, etc.",phrase,ein Einzelfall/Ereignis/Beispiel usw.,C2,,
ankle,noun,Knöchel,B1,,body and health
anniversary,noun,Jubiläum,B1,,relationships
announce,verb,anmelden,B1,,communication
announcement,noun,Bekanntmachung,B1,,"arts and media, communication"
annoy,verb,belästigen,B1,,people: personality
annoyance,noun,Ärger,C1,,
annoyed,adjective,verärgert,B1,,people: personality
annoying,adjective,nervig,B1,,people: personality
annual,adjective,jährlich,B1,,
annually,adverb,jährlich,B2,,
anonymous,adjective,anonym,C2,,
another,determiner,ein anderer,A2,ADDITIONAL,describing things
another,determiner,ein anderer,A2,DIFFERENT,
