Rank,Hebrew,English,Pronunciation
55,ו,and,ve
56,בכל,in all / at all,bekhol
57,אלו,these,elu
58,שני,second,sheni
58,שני,two,shnei
58,שני,scarlet,shani
59,אלה,these,ele
59,אלה,goddess,ela
59,אלה,bat,ala
60,כאשר,when / while,ka'asher
61,אין,there is no,ein
61,אין,nothing / naught / where,ain
62,אמר,said (m.s.),amar
63,באופן,in a way,beofen
64,הברית,the pact / the alliance / the covenant / the circumcision,habrit
65,מן,from,min
66,שלא,that [is] not,shelo
67,ידי,my hands,yadai
67,ידי,my hand,yadi
67,ידי,the hands of,yedei
68,לפני,before / in front of / ago,lifnei
69,הן,they (f.),hen
70,העולם,the world,ha'olam
71,פי,my mouth / multiplied by,pi
72,במהלך,during,bemahalakh
73,שלו,his / belongs to him,shelo
73,שלו,calm,shalev
74,בה,in her / in it,ba
75,מאד,very,me'od
76,ניתן,possible,nitan
76,ניתן,we will give,niten
77,אז,then,az
78,בעל,owner / husband,ba'al
79,אחרים,other (m.pl.) / others (m.),akherim
80,דרך,way / road,derekh
80,דרך,stepped on (m.s.),darakh
81,ולא,and not,velo
81,ולא,if not,valo
82,חלק,part,khelek
82,חלק,smooth / shared (m.s.),khalak
83,אותה,her / it,ota
84,בן,son,ben
85,בני,my son,bni
85,בני,my sons,banai
86,אולם,but / hall,ulam
87,אחר,other,akher
87,אחר,after,akhar
88,כמה,how many / how much / some / yearned (m.s.),kama
88,כמה,yearn (m.s.),kameha
89,המאה,the century / the hundred,hame'a
90,החל,started (m.s.),hekhel
90,החל,starting from,hakhel
91,נגד,against,neged
92,אנשי,the people of,anshei
93,אותם,them (m.),otam
94,כלל,rule / all,klal
94,כלל,included (m.s.),kalal
95,מנת,a portion of,menat
96,כיום,today / nowadays,kayom
97,שונים,different / various (m.pl.),shonim
98,המלחמה,the war,hamilkhama
99,שנים,years,shanim
99,שנים,two,shnayim
100,כבר,already,kvar
101,רב,Rabbi // fought (m.s.) / many / much,rav
101,רב,most / majority,rov
102,בשל,because of,beshel
102,בשל,ripe,bashel
102,בשל,cooked (m.s.),bishel
103,בהם,in them (m.),bahem
104,גדול,big / large (m.s.),gadol
105,להם,to them (m.),lahem
106,בעיקר,mainly / principally / especially,be'ikar
107,אלא,but / only,ela
108,היום,today,hayom
109,במקום,instead of / in place,bimkom
109,במקום,in place / in the place,bamakom
109,במקום,in a place,bemakom
110,שהיה,that was (m.s.),shehaya
111,וכן,and also,vekhen
112,הרב,the many / the rabbi,harav
112,הרב,the majority,harov
113,שבו,that in him / that in it,shebo
114,זמן,time,zman
115,יכול,can (m.s.),yakhol
116,להיות,to be,lihiyot
117,לה,to her,la
118,יהודים,Jews,yehudim
119,היהודים,the Jews,hayehudim
120,נוספים,additional (m.pl.),nosafim
121,הים,the sea,hayam
122,ללא,without,lelo
123,מקום,place,makom
124,חיים,life / (could also be a name),khaim
125,המדינה,the state,hamedina
126,הארגון,the organization,ha'irgun
127,אחרי,after,akharei
128,רבות,many (f.) / a lot,rabot
128,רבות,fight (f.pl.),ravot
129,שהוא,that he / that is (m),shehu
130,שנה,year / studied (m.s.),shana
131,בעלי,my husband,ba'ali
131,בעלי,the owner(s) of,ba'alei [tshuva]
131,בעלי,repentant,ba'alei [tshuva]
132,מתוך,out of / from,mitokh
133,תוך,inside / interior / content,tokh
134,ראש,head,rosh
135,מלחמת,the war of,milkhemet
136,אדם,person / man / human being / Adam,adam
137,מול,against / in front of,mul
138,איש,person / man / husband,ish
139,בדרך,on the way,baderekh
139,בדרך,on a way,bederekh
140,נוספת,additional (f.s.),nosefet
141,שימוש,use,shimush
142,כגון,such as,kegon
143,יום,day / daylight,yom
144,באמצעות,through / by way of / by,be'emtsa'ut
145,מכן,of that / from then / of you (f.pl.),miken
146,במשך,during / in the course of,bemeshekh
147,ואף,and also / and even / and nose,ve'af
148,לך,to you / for you (m.s.),lekha
148,לך,to you / for you (f.s.),lakh
148,לך,go / walk (m.s. Imperative),lekh
149,האדם,the man / the person,ha'adam
150,אתה,you (m.s.),ata
151,בשם,in the name of / called,beshem
152,ועל,and on / and about,ve'al
153,הממשלה,the government,hamemshala
154,לכל,to all,lekhol
154,לכל,to everybody,lakol
155,תחת,under / beneath / instead of,takhat
156,לעתים,sometimes,le'itim
157,הזה,this (m.),haze
157,הזה,hallucinated (m.s.),haza
158,מהם,from them,mehem
158,מהם,what are (m.pl.),mahem
159,למרות,despite,lamrot
160,אמרה,said (f.s.),amra
160,אמרה,phrase / fringe,imra
161,עצמו,himself,atsmo
162,שנות,the years of,shnot
163,כמעט,almost,kim'at
164,אינו,is not / is not here (m.s.),eino
165,בנוסף,in addition,benosaf
166,בידי,in the hands of,bidei
166,בידי,in my hand,beyadi
166,בידי,in my hands,beyadai
167,בעקבות,in the footsteps of / following / as a result of,be'ikvot
168,בעיר,in a city,be'ir
168,בעיר,in the city,ba'ir
169,לפי,according to / to my mouth,lefi
170,בקרב,among,bekerev
170,בקרב,in a battle,bekrav
170,בקרב,in the battle,bakrav
171,כפי,as,kefi
171,כפי,my palm / my spoon,kapi
172,המשחק,the game,hamis'khak
172,המשחק,the one who plays,hamesakhek
173,מי,who,mi
174,רוב,most,rov
175,עבור,for,avur
176,ואת,and the,ve'et
176,ואת,and you (f.s.),ve'at
177,בעת,at a time (of),be'et
177,בעת,phobia,ba'at
178,ארצות,countries,aratsot
179,למשל,for example,lemashal
180,הצבא,the army,hatsava
181,ההגנה,the defense,hahagana
182,כלי,article / dish / vessel / ware / tool,kli
183,נוסף,additional (m.s.),nosaf
184,באזור,in an area,be'ezor
184,באזור,in the area,ba'ezor
185,טוב,good (m.s.),tov
186,בעולם,in the world,ba'olam
187,כוחות,powers / forces / strength,kokhot
188,בתוך,inside,betokh
189,הארץ,the country / the earth / Israel,ha'arets
190,פני,the face of,pnei
190,פני,my face,panai
191,בארץ,in a country,be'arets
191,בארץ,in the country / in Israel,ba'arets
192,והוא,and he,vehu
193,הדבר,the thing / the object / the item / the matter,hadavar
193,הדבר,the plague,hadever
194,בלבד,only,bilvad
195,כוח,power / force / strength,ko'akh
196,בבית,at home / in the house,babayit
196,בבית,in a house,bebayit
196,בבית,in the house of,bebeit
197,מאז,since then,me'az
198,החיים,the life,hakhaim
199,ימים,days,yamim
200,לאורך,through / along,le'orekh
200,לאורך,longitudinally,la'orekh
201,מים,water,mayim
202,הרבה,many / a lot,harbe
202,הרבה,(did something) a lot (m.s.),hirba
203,בלתי,not / no / im- / in- / un- / dis- / except,bilti
204,עליו,on him / about him,alav
205,אביב,spring,aviv
206,מעל,above / over / on top,me'al
206,מעל,embezzled (m.s.),ma'al
206,מעל,embezzlement / treachery,ma'al
207,הגדול,the big / the large (m.s.),hagadol
208,אי,island / not / no / im- / in- / un- / dis-,i
209,הספר,the book,hasefer
209,הספר,the border,hasfar
209,הספר,the barber,hasapar
210,פעם,once / once upon a time,pa'am
210,פעם,beat (m.s.),pa'am
211,ראו,saw (m.pl.),ra'u
212,בכך,by this,bekhakh
213,נראה,looks,nir'e
213,נראה,looked,nir'a
214,לבין,and between,levein
215,ועד,and until,ve'ad
215,ועד,committee / board,va'ad
215,ועד,and a witness,ve'ed
216,כנגד,against,keneged
217,רבה,fought (f.s.),rava
218,שבה,returned (f.s.),shava
218,שבה,that in her,sheba
219,מדי,too,midai
219,מדי,whenever / as often as,midei
219,מדי,the uniform of,madei
220,בסוף,at the end,basof
220,בסוף,at the end of,besof
221,המפלגה,the party (political),hamiflaga
222,במיוחד,especially,bimyukhad
223,שונות,difference / variation / variance (stat.),shonut
223,שונות,different / various (f.pl.) / miscellaneous,shonot
224,המים,the water,hamayim
225,וגם,and also,vegam
226,ככל,the more / as far as,kekhol
227,שהיו,that were,shehayu
228,בתקופה,in a period / in an era,bitkufa
228,בתקופה,in the period / in the era,batkufa
229,אצל,in the possession of / at / near,etsel
230,עדיין,still / yet,adayin
231,השנים,the years,hashanim
232,לכך,to it,lekhakh
233,יהודי,Jew / Jewish (m.s.),yehudi
234,ערך,value,erekh
234,ערך,edited / arranged / held (m.s.),arakh
235,עכשיו,now,akhshav
236,החלו,started (pl.),hekhelu
237,בזמן,at the time [of],bizman
237,בזמן,on time,bazman
238,הכוחות,the powers / the forces / the strength,hakokhot
239,עץ,tree / wood,ets
240,חיל,soldier (m),khayal
240,חיל,corps / forces / success,khayil
240,חיל,fear,khil
241,אפשר,possible (adv.),efshar
241,אפשר,enabled / facilitated (m.s.),ifsher
242,בעוד,while,be'od
243,בתי,the houses of / the homes of,batei
243,בתי,my daughter,biti
244,שלה,hers,shela
245,האי,the island,ha'i
246,באותה,in the same / at the same (f.s.),be'ota
247,גדולה,big / large (f.s.),gdola
248,הגיע,arrived (m.s.),hegi'a
249,יחד,together,yakhad
250,למעשה,actually / in fact,lema'ase
251,צבא,army,tsava
252,מעט,a little / a few,me'at
253,ועוד,and more / and still / plus,ve'od
254,שלהם,theirs,shelahem
255,עלי,on me / about me,alai
255,עלי,go up (f.s. Imperative),ali
256,ביניהם,between them (m.),beinehem
257,והן,and they (f.),vehen
258,ים,sea,yam
259,ובין,and between,uvein
260,הכל,everything,hakol
261,הרי,here is / you see / the mountains of,harei
262,אינם,are not / are not here (m.pl.),einam
263,בתחילת,at the beginning of,bitkhilat
264,האדמה,the land / the earth / the soil / the ground,ha'adama
265,המשפט,the sentence / the trial,hamishpat
266,בצורה,in a way / in a shape / in a form,betsura
266,בצורה,in the way / in the shape / in the form,batsura
267,סוף,end,sof
268,זכה,won (m.s.),zakha
268,זכה,pure (f.),zaka
269,מחוץ,outside of,mikhuts
269,מחוץ,crushed,makhuts
270,בתקופת,in the time of / in the period of / in the era of,bitkufat
271,פה,here,po
271,פה,mouth,pe
272,דומה,similar,dome
273,במסגרת,in a frame / in a framework,bemisgeret
273,במסגרת,in the frame / in the framework,bamisgeret
274,האימפריה,the empire,ha'imperia
275,אנשים,people,anashim
276,מערכת,system / editorial board,ma'arekhet
277,אולי,Maybe / perhaps,ulai
278,השמש,the sun,hashemesh
278,השמש,the attendant,hashamash
279,ספר,book,sefer
279,ספר,border,sfar
279,ספר,barber,sapar
279,ספר,counted (m.s.),safar
279,ספר,told (m.s.),siper
280,עניינים,matters,inyanim
281,שהיא,that she / that is (f.s.),shehi
282,אינה,is not / is not here (f.s.),eina
283,שנת,year [X] / year of,shnat
284,שלי,mine,sheli
285,לראות,to see,lir'ot
286,ולכן,and therefore / and to/for you (f.pl.),velakhen
287,בשנים,in the years,bashanim
287,בשנים,in years,beshanim
288,כתב,writing,ktav
288,כתב,wrote (m.s.) / reporter,katav
289,הקרב,the battle,hakrav
290,קטן,small / little (m.s.),katan
291,ביום,on [day / date] / per day,beyom
291,ביום,during the day,bayom
292,מפני,because,mipnei
293,לשם,[to] there,lesham
293,לשם,[to/for] the name,lashem
293,לשם,for the sake of,leshem
293,לשם,opal,leshem
294,תוכן,content,tokhen
295,הכוח,the power / the force / the strength,hako'akh
296,הגיעו,arrived (pl.),hegi'u
297,בשנות,in the years of,bishnot
298,בארצות,in countries,be'aratsot
298,בארצות,in the countries,ba'aratsot
299,הדרך,the way / the road,haderekh
300,חיילים,soldiers,khayalim
301,תוכנית,program / plan,tokhnit
302,הסרט,the movie / the ribbon/strip,haseret
303,שוב,again / return (m.s. imperative),shuv
304,עקב,due to / because of,ekev
304,עקב,followed (m.s.),akav
304,עקב,heel,akev
305,שהם,that they (m.) / that are (m.pl.),shehem
306,נעשה,done,na'asa
306,נעשה,we will do,na'ase
307,לקראת,towards,lilkrat
308,בהן,in them (f.),bahen
309,הזמן,the time,hazman
310,מיליון,million,milyon
311,המלך,the king,hamelekh
312,שכן,neighbor (m.s.),shakhen
312,שכן,lived / dwelt (m.s.),shakhan
313,יהיה,will be (m.s.),yihiye
314,המועצות,council of,mo'etset
315,ממנו,from him,mimenu
316,קשה,difficult / hard (m.s.),kashe
316,קשה,difficult / hard (f.s.),kasha
317,עבר,passed / crossed / went through (m.s.),avar
318,אחרות,other (f.pl.) / others,akherot
319,השלטון,the authority / the reign / the government,hashilton
320,צריך,need / necessary / should / must,tsarikh
321,חידק,bacterium,khaydak
322,היהודית,the Jewish (f.s.),hayehudit
323,נמצא,is found / is [at] (m.s.),nimtsa
324,הר,mountain,har
325,מבנה,structure,mivne
326,החדשה,the new (f.s.),hakhadasha
327,מכל,from all,mikol
328,בפני,in front of / in the presence of,bifnei
328,בפני,in front of me / in my presence,befanai
329,הקמת,(the) establishment of,hakamat
330,אנחנו,we,anakhnu
331,קבוצת,group of,kvutsat
332,שבהם,that in them (m.),shebahem
333,כולל,includes / including,kolel
334,חיצוניים,external (m.pl.),khitsonim
335,ימי,marine (m.s.),yami
336,הביניים,the mid / the middle / the intermediate,habeinayim
337,ברחבי,all over,berakhvei
338,למעלה,up / upward,lemala
339,מדינות,states,medinot
340,היהודי,the Jew / the Jewish (m.s.),hayehudi
341,יחסית,relatively,yakhasit
342,התנועה,the movement / the motion / the traffic,hatnu'a
343,האלים,the gods,ha'elim
344,מינים,kinds / species / genders,minim
345,אליו,to him / to it (m.s.),elav
346,החברה,the friend (f.s.),hakhavera
346,החברה,the company / the society,hakhevra
347,ארץ,country / land / earth,erets
348,המבנה,the structure,hamivne
349,הבית,the house / the home,habayit
350,המכונה,the machine,hamekhona
350,המכונה,that is called / aka (m.s.),hamekhune
350,המכונה,that is called / aka (f.s.),hamekhuna
351,העם,the people,ha'am
352,משום,because,mishum
353,הצליחו,succeeded (pl.),hitslikhu
354,המרד,the rebellion,hamered
355,לתוך,into,letokh
356,יכולים,can (m.pl.),yekholim
357,סביב,around,saviv
358,מותו,his death,moto
359,לב,heart,lev
360,עתה,now,ata
361,מעבר,transition / pass,ma'avar
361,מעבר,beyond / across,me'ever
362,לדוגמה,for example,ledugma
363,האם,if / is it / whether,ha'im
363,האם,the mother,ha'em
364,הצליח,succeeded (m.s.),hitsliakh
365,מחדש,from the beginning,mekhadash
365,מחדש,renews / innovates (m.s.),mekhadesh
366,לארץ,to the country / to Israel,la'arets
367,העונה,the season / this season / that/who answers (f.s.),ha'ona
368,ברית,pact / alliance / covenant / circumcision,brit
369,לנו,for us / to us / slept overnight (pl.),lanu
370,קישורים,links / the connections / the bindings,kishurim
371,האלה,these,ha'ele
371,האלה,the goddess,ha'ela
372,מזה,from this (m.),mize
373,ראשי,main / principal,rashi
374,עמד,stood / was about to / endured / succeeded / insisted on (m.s.),amad
375,תל,hill,tel
376,בצפון,in the north,batsafon
376,בצפון,in the north of,bitsfon
377,לכן,therefore / to/for you (f.pl.),lakhen
378,ההנדסה,the engineering,hahandasa
379,מבלי,without,mibli
380,לרוב,mostly,larov
380,לרוב,to/for the majority,lerov
381,שבין,that is between / that is among,shebein
382,יד,hand,yad
383,פעולה,action / operation / deed / transaction,pe'ula
384,גוף,body,guf
385,יחידות,unit / squad / only / single (f.s.),yekhida
386,שאני,that I,she'ani
387,בא,coming / came (m.s.),ba
388,ידוע,known,yadu'a
389,ולאחר,and after,vele'akhar
389,ולאחר,and to another / and to be late,vele'akher
389,ולאחר,and to the other,vela'akher
390,תקופה,period / era,tkufa
391,תקופת,period of / era of,tkufat
392,אפילו,even / although,afilu
393,למצוא,to find,limtso
394,קודם,earlier,kodem
394,קודם,former / previous (m.s.),kodem
395,לצד,to a side / to the [right/left] / next to,letsad
395,לצד,to the side,latsad
396,הקהילה,the community,hakehila
397,הייתי,I was,hayiti
398,במאה,in a hundred,beme'a
398,במאה,in the century,bame'a
399,הגוף,the body,haguf
400,מבחינה,from an aspect,mibkhina
400,מבחינה,observes (f.s.),mavkhina
401,יצא,went out / came out (m.s.),yatsa
402,שונה,different (m.s.),shone
403,שהייתה,that/who was / that she was,shehaita
404,אבן,stone,even
405,לראשונה,for the first time,larishona
406,למען,for,lema'an
407,מזון,food,mazon
408,הפך,inverted / converted / turned / become / transformed (m.s.),hafakh
409,קו,line,kav
410,הבחירות,the elections / the selections,habkhirot
411,בניין,building,binyan
412,שושלת,dynasty,shoshelet
413,רקע,background,reka
414,כזה,like this / such,kaze
415,גדולים,big / large (m.pl.),gdolim
416,קיבל,received / accepted (m.s.),kibel
417,הספינה,the ship,hasfina
418,עלה,went up / climbed / increased / immigrated (to Israel) (m.s.),ala
418,עלה,leaf,ale
419,יכולה,can (f.s.),yakhola
420,לבסוף,finally / eventually,levasof
421,אזור,area / region / zone,ezor
422,משנת,from the year [X] / from the year of,mishnat
423,השימוש,the use,hashimush
424,הפעם,this time,hapa'am
425,מיד,immediately,miyad
426,מין,kind / species / gender / sex,min
427,וכי,if,vekhi
428,אחרת,other (f.s.) / otherwise,akheret
429,השנה,this year,hashana
430,אותי,me,oti
431,איך,how,eikh
432,המשיך,continued (m.s.),himshikh
433,בעזרת,with the help of,be'ezrat
434,כתוצאה,as a result,ketotsa'a
435,נשק,weapon,neshek
435,נשק,kissed (m.s.),nashak
436,איזה,which / what (m.),eize
437,האחרון,the last (m.s.),ha'akharon
438,הגדולה,the big / the large (f.s.),hagdola
439,ליד,near / next to,leyad
440,כלומר,meaning,klomar
441,שום,nothing / garlic,shum
442,פחות,less / minus,pakhot
442,פחות,inferior / lesser (m.s.),pakhut
443,בראש,at the top / leading / in a head,berosh
443,בראש,at the top / leading / in the head,barosh
444,דם,blood,dam
445,חברת,friend of / member of (f.s.),khavrat
445,חברת,company of,khevrat
446,פעמים,times,pe'amim
447,השם,the name / God,hashem
448,להגיע,to arrive,lehagi'a
449,החלה,started (f.s.),hekhela
450,חומרים,materials,khomarim
451,היטב,well / properly,heytev
452,העליון,the upper / the top / the utmost / the superior (m.s.),ha'elyon
453,קרב,battle,krav
453,קרב,getting close / approaches (m.s.),karev
454,נוספות,additional (f.pl.),nosafot
455,הקיסר,the Caesar,hakeysar
456,האוויר,the air,ha'avir
457,מרכז,center,merkaz
458,רוצה,wants (m.s.),rotse
459,מלחמה,war,milkhama
460,מכיוון,from the direction of / from adjustment / from tuning,mekivun
460,מכיוון,because,mikeivan
461,שיש,that there is,sheyesh
462,כה,so / this way,ko
463,מאת,from / by,me'et
464,מטרים,meters,metrim
465,היער,the forest,haya'ar
466,הלא,is it not / indeed,halo
467,עליה,on her / about her,aleha
468,מצב,state / situation,matsav
469,הכנסת,the Knesset (the Israeli parliament),hakneset
470,לעומת,compared with / against / opposite,le'umat
471,תנועת,movement of / motion of / traffic of,tnu'at
472,פעולות,actions / operations / deeds / transactions,pe'ulot
473,מעולם,never,me'olam
474,תמיד,always,tamid
475,מאות,hundreds / centuries,me'ot
476,שמו,placed / put (pl.),samu
476,שמו,his name,shmo
477,מצד,from a side / from the [right/left],mitsad
478,בשלב,at a stage / at a phase,beshalav
479,בלי,without,bli
480,רוח,wind / spirit / ghost,ru'akh
481,חדש,new (m.s.),khadash
482,היחיד,the only / the single / the individual,hayakhid
483,בהמשך,Later / later on,bahemshekh
484,ארגון,organization,irgun
485,לעשות,to do,la'asot
486,חדשים,new (m.pl.),khadashim
487,קצר,short (m.s.),katsar
488,בעלות,ownership,ba'alut
489,בניגוד,in contrast / contrary to,benigud
490,פעילות,activity,pe'ilut
491,דגל,flag,degel
492,מסוימים,specific (m.pl.),mesuyamim
493,במשחק,in a game,bemis'khak
493,במשחק,in the game,bamis'khak
494,במקביל,in parallel / simultaneously,bemakbil
495,בעבר,in the past,ba'avar
496,בסיס,basis / base,basis
497,לבית,to the house of / to the home of,leveit
497,לבית,to the house / to the home,labayit
498,החדש,the new (m.s.),hakhadash
499,להשתמש,to use,lehishtamesh
500,במספר,at a number,bemispar
501,הקבוצה,the group,hakvutsa
502,קיים,exists (m.s.),kayam
503,המקום,the place,hamakom
504,וכך,and so,vekhakh
505,ואילו,whereas,ve'ilu
506,הנה,here is,hine
506,הנה,[to] here,hena
506,הנה,is (f.s.),hina
507,מאנית,manic (f.s.),manit
508,היישוב,the settlement / the civilization,hayeshuv
509,הזקנה,the old (f.s.),hazkena
509,הזקנה,the old age,hazikna
510,הנמלה,the ant,hanemala
511,ואני,and I / and me,ve'ani
512,נכון,correct / ready (m.s.),nakhon
513,העץ,the tree / the wood,ha'ets
514,סמים,drugs,samim
515,מאוחר,late,me'ukhar
516,הבנק,the bank,habank
517,באותו,in the same / at the same (m.s.),be'oto
518,לגבי,regarding,legabei
519,כלפי,towards,klapei
519,כלפי,towards me,klapai
520,בימי,on [days] / in the days of,bimei
521,הסדרה,the series,hasidra
522,חשוב,important (m.s.),khashuv
523,ובו,and in him / and in it,uvo
524,מטר,meter,meter
524,מטר,rain shower,matar
525,ואז,and then,ve'az
526,האחרים,the other (m.pl.) / the others (m.),ha'akherim
527,אור,light,or
528,לידי,to / to the hands of,liydei
528,לידי,near me / next to me,leyadi
529,ישנם,there are (m.),yeshnam
530,מילים,words,milim
531,ליצור,to form / to create / to make,litsor
532,שטח,area / field / territory,shetakh
533,מורחב,widened / broadened,murkhav
534,אשכול,cluster,eshkol
535,שאין,that there is no,she'ein
536,בגלל,because,biglal
537,ברור,clear / obvious (m.s.),barur
538,גבוה,high / tall (m.s.),gavoha
539,הדין,the judgment / the sentence / the law,hadin
540,הכפר,the village,hakfar
541,העצים,the trees / the logs,ha'etsim
542,הביא,brought (m.s.),hevi
543,השונים,the different / the various (m.pl.),hashonim
544,העברית,the Hebrew,ha'ivrit
545,המתמטיקה,the mathematics,hamatematika
546,ממש,really,mamash
547,עת,time,et
548,חדשה,new (f.s.),khadasha
549,הרימון,the pomegranate / the grenade,harimon
550,מת,dead / died (m.s.),met
551,והיא,and she,vehi
552,בת,girl / daughter,bat
553,קשר,tie / bond / link / connection,kesher
554,מדינת,the state of,medinat
555,אותן,them (f.),otan
556,עצמם,themselves,atsmam
557,נחשב,is considered / was considered (m.s.),nekhshav
558,התקופה,the period / the era,hatkufa
559,לעולם,forever,le'olam
559,לעולם,to/for the world,la'olam
560,העבודה,the work,ha'avoda
561,במידה,of a measure / of size / of a quality / to the extent that / [if (slang)],bemida
562,שוליים,margins / edges / fringe,shulayim
563,זכויות,rights / privileges,zkhuyot
564,קרא,read / called (m.s.),kara
565,הגדולים,the big / the large (m.pl.),hagdolim
566,הלחימה,the warfare / the fighting,halekhima
566,הלחימה,soldered (f.s.),hilkhima
567,שאל,asked / borrowed (m.s.),sha'al
568,הזאת,this (f.),hazot
569,מקור,source / beak,makor
570,חברי,my friend / friendly,khaveri
570,חברי,my friends,khaverai
570,חברי,friends of / members of,khavrei
571,דיוויזיות,divisions,divizyot
572,מיני,kinds of / species of,minei
573,בתל,on a hill,betel
573,בתל,on the hill,batel
574,שימש,was used / served (m.s.),shimesh
575,ויותר,and more,veyoter
576,הביאו,brought (pl.),hevi'u
577,במקומות,in/at places,bimkomot
577,במקומות,in/at the places,bamekomot
578,הנני,I am / here I am,hineni
579,מפקד,commander,mefaked
579,מפקד,census / muster,mifkad
580,שלאחר,that after,shele'akhar
581,מבין,from between / from among,mibein
581,מבין,understand (m.s.),mevin
582,ממנה,from her,mimena
583,עצים,trees / logs,etsim
584,שינוי,change,shinui
585,הדגל,the flag,hadegel
586,הדמוקרטיה,the democracy,hademokratya
587,בכלל,at all,bikhlal
588,עליהם,on them / about them (m.),aleihem
589,מכך,from this,mikakh
590,כמות,quantity / amount,kamut
591,היסטוריה,history,historia
592,אלי,to me,elai
592,אלי,my god,eli
593,קיימים,exist (m.pl.),kayamim
594,המדינות,the states,hamedinot
595,מרכזי,central (m.s.),merkazi
596,ברחוב,on the street,barekhov
596,ברחוב,on a street,berekhov
597,האחרונות,the last (f.pl.),ha'akhronot
598,ובכך,and by this,uvkhakh
599,אומנם,indeed,omnam
600,כולם,everybody (m.),kulam
601,להורג,execution / putting to death,[hotsa'a] lahoreg
602,קבוצות,groups,kvutsot
603,להביא,to bring,lehavi
604,השחקן,the player / the actor,hasakhkan
605,חייו,his life,khayav
606,היתר,the rest,hayeter
607,אנרגיה,energy,energiya
608,העלייה,the rise / the increase / the immigration,ha'aliya
609,הבורים,the ignorant (m.pl.),haburim
610,תחילת,the beginning of,tkhilat
611,והם,and they,vehem
612,האוכלוסייה,the population,ha'ukhlusiya
613,ביער,in a forest,beya'ar
613,ביער,in the forest,baya'ar
614,כולו,all of it (m.s.),kulo
615,ידע,knew (m.s.),yada
615,ידע,knowledge,yeda
616,יצאו,went out / came out (pl.),yats'u
617,כיוון,direction / adjustment / tuning,kivun
618,הערות,comments,he'arot
619,למנוע,to prevent,limno'a
620,מס,tax,mas
621,לקריאה,for reading / for calling / for a call,likri'a
622,טען,claimed / argued (m.s.),ta'an
623,חודשים,months,khodashim
624,בזה,hereby,baze
624,בזה,in this one (m.),beze
625,זהו,this is (m.) / that's it,zehu
626,השאר,the rest,hash'ar
626,השאר,leave (m.s. imperative),hash'er
627,גבוהה,high / tall (f.s.),gvoha
628,בתחום,in a field / in an area / in a range,bitkhum
628,בתחום,in the field / in the area / in the range,batkhum
629,מסוים,specific (m.s.),mesuyam
630,המין,the kind / the species / the gender / the sex,hamin
631,יודע,knows (m.s.),yode'a
632,הקרקע,the soil / the ground / the land,hakarka
633,העירייה,the municipality,ha'iriya
634,טיפול,treatment,tipul
635,נחל,stream,nakhal
635,נחל,inherited / attained (m.s.),nakhal
636,אתם,you (m.pl.),atem
636,אתם,with them (m.pl.),itam
637,שלום,peace,shalom
638,גורמים,factors / cause (m.pl.),gormim
639,היחידה,the unit / the squad / the only / the single,hayekhida
640,מופיע,appear / perform (m.s.),mofi'a
641,השטח,the area / the field / the territory,hashetakh
642,חוקי,legal (m.s.),khuki
643,הגדוד,the regiment,hagdud
644,וכל,and all,vekol
645,לקבל,to receive / to accept,lekabel
646,בשר,meat,basar
647,קיימת,exist (f.s.),kayemet
648,פרסם,published / advertised (m.s.),pirsem
649,העכברה,the mouse (female),ha'akhbara
650,אינני,I am not,eineni
